,sentence_norm,canonical_aspect,majority_category,majority_sentiment,majority_tone,runs_count
0,**Customer Oriented** Providing the best service for customer satisfaction,corporate core values - customer focus,none,positive,commitment,1
1,**Dynamic and Innovative** Quickly adapt and seek for creative solutions.,corporate core values - innovation,g,positive,commitment,1
2,"**Integrity** Honest, accountable and responsibility.",corporate core values - integrity,none,positive,commitment,1
3,**Learning without limits** Continuously learning to develop ourselves,corporate core values - continuous learning,none,positive,commitment,1
4,"**Respect Others** Respect, cooperativeness and good environment",corporate core values - respect,e,positive,commitment,1
5,0 critical incident,health and safety,e,neutral,none,1
6,0 insiden critical,safety incidents,none,neutral,none,1
7,1,other,e-s-g,neutral,none,1
8,"1,000 Trees planted at Pantai Bahagia Bekasi.",environmental,s,positive,outcome,1
9,"1,353 mangrove trees planted absorbing 261.2 kgCO₂ emissions",biodiversity conservation,s,positive,outcome,1
10,"1,353 mangrove trees planted absorbing 261.2 kgCO₂ emissions",carbon sequestration,s,positive,outcome,1
11,1.224 MILIAR DANA BANTUAN KESEHATAN,dana bantuan kesehatan,e-s-g,positive,outcome,1
12,1.224 MILIAR DANA BANTUAN KESEHATAN,health assistance,none,positive,outcome,1
13,1.264 KM JALAN TOL BEROPERASI,jalan tol beroperasi,e,positive,outcome,1
14,1.696 MILIAR PEMBERDAYAAN EKONOMI MASYARAKAT,community economic empowerment,s,positive,outcome,2
15,1.696 MILIAR PEMBERDAYAAN EKONOMI MASYARAKAT,pemberdayaan ekonomi masyarakat,s,positive,outcome,1
16,1.828 MILIAR DANA KEGIATAN HAYATI,biodiversity activities,e,positive,outcome,1
17,100% performance for Service Level Agreement (SLA) Operations,service quality,s,positive,outcome,1
18,104,other,none,none,none,1
19,112,other,e,none,none,1
20,1155,other,none,none,none,1
21,"12,356 m³ Water Usage (2020)",water consumption,none,neutral,outcome,1
22,"12,9 (LOW RISK)",esg risk level,e-s-g,positive,outcome,1
23,"12,9 (LOW RISK) Hasil ESG Risk Rating yang dilakukan oleh Morningstar Sustainalitycs.",esg risk rating,g,positive,outcome,1
24,129,other,e,neutral,none,1
25,"14 water towers installed providing clean water access to 6 regions, delivering 850 liters/hour each.",water access,g,positive,outcome,1
26,"14,297 Trees in Reforestation Program",reforestation,s,positive,outcome,1
27,"14,297 Trees in Reforestation Program",reforestation program,s,positive,outcome,2
28,14.297 POHON PROGRAM PENGHIJAUAN,reforestation,none,positive,outcome,2
29,15 water towers constructed since 2011 providing clean water access,community infrastructure,none,positive,outcome,1
30,17 unit Pengisian Kendaraan Listrik Umum (SPKLU)... meningkat 70% atau 7 unit dari tahun sebelumnya,clean technology adoption,e,positive,outcome,1
31,17% Intensitas Financed Emissions dari tahun 2023.,financed emissions,g,neutral,outcome,1
32,17% Intensitas Financed Emissions dari tahun 2023.,financed emissions reduction,e-s-g,positive,outcome,1
33,"18 stores implementing waste management program collecting 950.13 kg paper waste, saving 14 trees, 3,808 kWh energy, and preventing 85 kg CH₄ emissions.",paper waste recycling and tree savings,g,positive,outcome,1
34,1965,other,e,neutral,none,1
35,1ST RUNNER UP OF GENDER INCLUSIVE WORKPLACE - WEP'S AWARD BY UN WOMEN,gender inclusive workplace,,positive,outcome,1
36,2036,other,e-s,neutral,none,1
37,2039,other,e-s-g,neutral,none,1
38,2086,other,e,neutral,none,1
39,23,other,s,neutral,none,1
40,2334,other,e-s-g,neutral,none,1
41,"249,245 m3 Water Usage",water consumption,e-s-g,neutral,outcome,2
42,249.245 M3 PENGGUNAAN AIR,water usage,none,neutral,outcome,1
43,26,other,e,neutral,none,1
44,26 stores participating in recycled plastic glass program collecting 299 kg rPET glasses.,recycled plastic glass collection,e-s-g,positive,outcome,1
45,"27,209.6 GJ Energy Consumption (2020)",energy use,e,neutral,outcome,1
46,"28,497.05 Ton CO2 eq GHG Emission (2020)",ghg emissions,e,neutral,outcome,1
47,292,other,,neutral,none,1
48,2982,other,none,neutral,none,1
49,2ND RANK LINKEDIN TOP COMPANIES 2022,corporate recognition,g,positive,outcome,1
50,3 (Three) Green Toll Road Certified Roads,green certification,none,positive,outcome,2
