ticker,company_name,aliases,sector
AADI,Pt Adaro Andalan Indonesia Tbk,"[""AADI"", ""Adaro Andalan Indonesia""]",Energy minerals
AALI,PT Astra Agro Lestari Tbk,"[""AALI"", ""Astra Agro Lestari""]",Process industries
ABBA,PT Mahaka Media Tbk,"[""ABBA"", ""Mahaka Media""]",Consumer services
ABDA,PT Asuransi Bina Dana Arta Tbk,"[""ABDA"", ""Asuransi Bina Dana Arta""]",Finance
ABMM,PT ABM Investama Tbk,"[""ABMM"", ""ABM Investama""]",Energy minerals
ACES,PT Aspirasi Hidup Indonesia Tbk,"[""ACES"", ""Aspirasi Hidup Indonesia""]",Retail trade
ACRO,PT Samcro Hyosung Adilestari Tbk,"[""ACRO"", ""Samcro Hyosung Adilestari""]",Process industries
ACST,PT Acset Indonusa Tbk,"[""ACST"", ""Acset Indonusa""]",Industrial services
ADCP,PT Adhi Commuter Properti Tbk,"[""ADCP"", ""Adhi Commuter Properti""]",Finance
ADES,PT Akasha Wira International Tbk,"[""ADES"", ""Akasha Wira International""]",Consumer non-durables
ADHI,PT Adhi Karya (Persero) Tbk,"[""ADHI"", ""Adhi Karya (Persero)"", ""Adhi Karya""]",Industrial services
ADMF,PT Adira Dinamika Multi Finance Tbk,"[""ADMF"", ""Adira Dinamika Multi Finance""]",Finance
ADMG,PT Polychem Indonesia Tbk,"[""ADMG"", ""Polychem Indonesia""]",Process industries
ADMR,PT Alamtri Minerals Indonesia Tbk,"[""ADMR"", ""Alamtri Minerals Indonesia""]",Energy minerals
ADRO,PT Alamtri Resources Indonesia Tbk,"[""ADRO"", ""Alamtri Resources Indonesia""]",Energy minerals
AEGS,PT Anugerah Spareparts Sejahtera Tbk,"[""AEGS"", ""Anugerah Spareparts Sejahtera""]",Producer manufacturing
AGAR,PT Asia Sejahtera Mina Tbk,"[""AGAR"", ""Asia Sejahtera Mina""]",Distribution services
AGII,PT Samator Indo Gas Tbk,"[""AGII"", ""Samator Indo Gas""]",Process industries
AGRO,PT Bank Raya Indonesia Tbk,"[""AGRO"", ""Bank Raya Indonesia""]",Finance
AGRS,PT Bank IBK Indonesia Tbk,"[""AGRS"", ""Bank IBK Indonesia""]",Finance
AHAP,PT Asuransi Harta Aman Pratama Tbk,"[""AHAP"", ""Asuransi Harta Aman Pratama""]",Finance
AIMS,PT Artha Mahiya Investama Tbk,"[""AIMS"", ""Artha Mahiya Investama""]",Distribution services
AISA,PT FKS Food Sejahtera Tbk,"[""AISA"", ""FKS Food Sejahtera""]",Consumer non-durables
AKPI,PT Argha Karya Prima Industry Tbk,"[""AKPI"", ""Argha Karya Prima Industry""]",Process industries
AKRA,PT AKR Corporindo Tbk,"[""AKRA"", ""AKR Corporindo""]",Distribution services
AKSI,PT Mineral Sumberdaya Mandiri Tbk,"[""AKSI"", ""Mineral Sumberdaya Mandiri""]",Finance
ALDO,PT Alkindo Naratama Tbk,"[""ALDO"", ""Alkindo Naratama""]",Process industries
ALII,PT Ancara Logistics Indonesia Tbk,"[""ALII"", ""Ancara Logistics Indonesia""]",Consumer services
ALKA,"PT Alakasa Industrindo, Tbk","[""ALKA"", ""Alakasa Industrindo""]",Non-energy minerals
AMAG,PT Asuransi Multi Artha Guna Tbk,"[""AMAG"", ""Asuransi Multi Artha Guna""]",Finance
AMAN,PT Makmur Berkah Amanda Tbk,"[""AMAN"", ""Makmur Berkah Amanda""]",Finance
AMAR,PT Bank Amar Indonesia Tbk,"[""AMAR"", ""Bank Amar Indonesia""]",Finance
AMFG,PT Asahimas Flat Glass Tbk,"[""AMFG"", ""Asahimas Flat Glass""]",Process industries
AMIN,PT Ateliers Mecaniques D'Indonesie Tbk,"[""AMIN"", ""Ateliers Mecaniques D'Indonesie""]",Producer manufacturing
AMMN,PT Amman Mineral Internasional Tbk,"[""AMMN"", ""Amman Mineral Internasional""]",Non-energy minerals
AMMS,PT Agung Menjangan Mas Tbk,"[""AMMS"", ""Agung Menjangan Mas""]",Process industries
AMOR,PT Ashmore Asset Management Indonesia Tbk,"[""AMOR"", ""Ashmore Asset Management Indonesia""]",Finance
AMRT,PT Sumber Alfaria Trijaya,"[""AMRT"", ""Sumber Alfaria Trijaya""]",Retail trade
ANDI,PT Andira Agro Tbk,"[""ANDI"", ""Andira Agro""]",Process industries
ANJT,PT Austindo Nusantara Jaya Tbk,"[""ANJT"", ""Austindo Nusantara Jaya""]",Process industries
ANTM,PT Aneka Tambang Tbk,"[""ANTM"", ""Aneka Tambang""]",Non-energy minerals
APEX,PT Apexindo Pratama Duta Tbk,"[""APEX"", ""Apexindo Pratama Duta""]",Industrial services
APIC,PT Pacific Strategic Financial Tbk,"[""APIC"", ""Pacific Strategic Financial""]",Finance
APII,PT Arita Prima Indonesia Tbk,"[""APII"", ""Arita Prima Indonesia""]",Producer manufacturing
APLI,PT Asiaplast Industries Tbk,"[""APLI"", ""Asiaplast Industries""]",Process industries
APLN,PT Agung Podomoro Land Tbk,"[""APLN"", ""Agung Podomoro Land""]",Finance
ARCI,PT Archi Indonesia Tbk,"[""ARCI"", ""Archi Indonesia""]",Non-energy minerals
AREA,PT Dunia Virtual Online Tbk,"[""AREA"", ""Dunia Virtual Online""]",Technology services
ARGO,PT Argo Pantes Tbk,"[""ARGO"", ""Argo Pantes""]",Process industries
ARII,PT Atlas Resources Tbk,"[""ARII"", ""Atlas Resources""]",Energy minerals
ARKA,PT Arkha Jayanti Persada Tbk,"[""ARKA"", ""Arkha Jayanti Persada""]",Transportation
ARKO,PT Arkora Hydro Tbk,"[""ARKO"", ""Arkora Hydro""]",Industrial services
ARNA,PT Arwana Citramulia Tbk,"[""ARNA"", ""Arwana Citramulia""]",Producer manufacturing
ARTA,PT Arthavest Tbk,"[""ARTA"", ""Arthavest""]",Consumer services
ARTO,PT Bank Jago Tbk,"[""ARTO"", ""Bank Jago""]",Finance
ASBI,PT Asuransi Bintang Tbk,"[""ASBI"", ""Asuransi Bintang""]",Finance
ASDM,PT Asuransi Dayin Mitra Tbk,"[""ASDM"", ""Asuransi Dayin Mitra""]",Finance
ASGR,PT Astra Graphia Tbk,"[""ASGR"", ""Astra Graphia""]",Technology services
ASHA,PT Cilacap Samudera Fishing Industry Tbk,"[""ASHA"", ""Cilacap Samudera Fishing Industry""]",Process industries
ASII,PT Astra International Tbk,"[""ASII"", ""Astra International""]",Technology services
ASJT,PT Asuransi Jasa Tania Tbk,"[""ASJT"", ""Asuransi Jasa Tania""]",Finance
ASLC,PT Autopedia Sukses Lestari Tbk,"[""ASLC"", ""Autopedia Sukses Lestari""]",Distribution services
ASMI,PT Asuransi Maximus Graha Persada Tbk,"[""ASMI"", ""Asuransi Maximus Graha Persada""]",Finance
ASPI,PT Andalan Sakti Primaindo Tbk,"[""ASPI"", ""Andalan Sakti Primaindo""]",Finance
ASPR,PT Asia Pramulia Tbk,"[""ASPR"", ""Asia Pramulia""]",Producer manufacturing
ASRI,PT Alam Sutera Realty Tbk,"[""ASRI"", ""Alam Sutera Realty""]",Finance
ASRM,PT Asuransi Ramayana Tbk,"[""ASRM"", ""Asuransi Ramayana""]",Finance
ASSA,PT Adi Sarana Armada Tbk,"[""ASSA"", ""Adi Sarana Armada""]",Transportation
ATAP,PT Trimitra Prawara Goldland Tbk,"[""ATAP"", ""Trimitra Prawara Goldland""]",Finance
ATIC,PT Anabatic Technologies Tbk,"[""ATIC"", ""Anabatic Technologies""]",Technology services
ATLA,PT Atlantis Subsea Indonesia Tbk,"[""ATLA"", ""Atlantis Subsea Indonesia""]",Industrial services
AUTO,PT Astra Otoparts Tbk,"[""AUTO"", ""Astra Otoparts""]",Producer manufacturing
AVIA,PT Avia Avian Tbk,"[""AVIA"", ""Avia Avian""]",Process industries
AWAN,PT Era Digital Media Tbk,"[""AWAN"", ""Era Digital Media""]",Technology services
AXIO,PT Tera Data Indonusa Tbk,"[""AXIO"", ""Tera Data Indonusa""]",Electronic technology
AYAM,PT Janu Putra Sejahtera Tbk,"[""AYAM"", ""Janu Putra Sejahtera""]",Process industries
AYLS,PT Agro Yasa Lestari Tbk,"[""AYLS"", ""Agro Yasa Lestari""]",Process industries
BABP,PT Bank MNC Internasional Tbk,"[""BABP"", ""Bank MNC Internasional""]",Finance
BABY,PT Multitrend Indo Tbk,"[""BABY"", ""Multitrend Indo""]",Retail trade
BACA,PT Bank Capital Indonesia Tbk,"[""BACA"", ""Bank Capital Indonesia""]",Finance
BAIK,PT Bersama Mencapai Puncak Tbk,"[""BAIK"", ""Bersama Mencapai Puncak""]",Consumer services
BAJA,PT Saranacentral Bajatama Tbk,"[""BAJA"", ""Saranacentral Bajatama""]",Non-energy minerals
BALI,PT Bali Towerindo Sentra Tbk,"[""BALI"", ""Bali Towerindo Sentra""]",Industrial services
BANK,PT Bank Aladin Syariah Tbk,"[""BANK"", ""Bank Aladin Syariah""]",Finance
BAPA,PT Bekasi Asri Pemula Tbk,"[""BAPA"", ""Bekasi Asri Pemula""]",Consumer durables
BAPI,PT Bhakti Agung Propertindo Tbk,"[""BAPI"", ""Bhakti Agung Propertindo""]",Finance
BATA,PT Sepatu Bata Tbk,"[""BATA"", ""Sepatu Bata""]",Consumer non-durables
BATR,PT Benteng Api Technic Tbk,"[""BATR"", ""Benteng Api Technic""]",Non-energy minerals
BAUT,PT Mitra Angkasa Sejahtera Tbk,"[""BAUT"", ""Mitra Angkasa Sejahtera""]",Distribution services
BAYU,PT Bayu Buana Tbk,"[""BAYU"", ""Bayu Buana""]",Consumer services
BBCA,PT Bank Central Asia Tbk,"[""BBCA"", ""Bank Central Asia"", ""BCA""]",Finance
BBHI,PT Allo Bank Indonesia Tbk,"[""BBHI"", ""Allo Bank Indonesia""]",Finance
BBKP,PT Bank KB Indonesia Tbk,"[""BBKP"", ""Bank KB Indonesia""]",Finance
BBLD,PT Buana Finance Tbk,"[""BBLD"", ""Buana Finance""]",Finance
BBMD,PT Bank Mestika Dharma Tbk,"[""BBMD"", ""Bank Mestika Dharma""]",Finance
BBNI,PT Bank Negara Indonesia (Persero) Tbk,"[""BBNI"", ""Bank Negara Indonesia (Persero)"", ""Bank Negara Indonesia"", ""BNI"", ""Bank BNI""]",Finance
