,aspect,count
0,governance,345
1,emissions,300
2,diversity,121
3,waste management,109
4,community engagement,104
5,corporate governance,104
6,risk management,93
7,renewable energy,91
8,Governance,90
9,stakeholder engagement,77
10,energy consumption,77
11,transparency,75
12,anti-corruption,70
13,gender equality,67
14,employee training,67
15,environmental management,64
16,water usage,62
17,waste,60
18,board diversity,52
19,education,52
20,compliance,50
21,biodiversity,47
22,workforce diversity,46
23,employee relations,45
24,certifications,44
25,resilience,43
26,occupational health & safety,43
27,regulatory compliance,42
28,energy efficiency,36
29,gender diversity,35
30,community development,34
31,employee benefits,33
32,capital structure,31
33,employee development,29
34,social responsibility,28
35,human rights,28
36,tax compliance,27
37,legal compliance,26
38,supply chain,26
39,occupational health and safety,26
40,safety,25
41,board composition,24
42,workplace safety,23
43,governance structure,23
44,water management,23
45,community empowerment,23
46,workforce development,22
47,Corporate Governance,22
48,product safety,20
49,credit risk management,19
50,health,19
51,stakeholder collaboration,19
52,health and safety,18
53,employee welfare,18
54,labor practices,18
55,Risk Management,18
56,environmental compliance,17
57,circular economy,17
58,employee engagement,16
59,sustainable materials,16
60,sustainability,16
61,financial reporting,16
62,liquidity management,16
63,economic performance,16
64,biodiversity conservation,16
65,Community Engagement,15
66,resource efficiency,15
67,operational efficiency,15
68,taxation,15
69,sustainability reporting,15
70,GHG emissions,14
71,ethics,14
72,employee compensation,13
73,interest rate risk management,13
74,remuneration,13
75,product innovation,13
76,environmental responsibility,13
77,customer satisfaction,12
78,carbon emissions,12
79,greenhouse gas emissions,12
80,ethics policies,12
81,recycled materials,12
82,risk management system,11
83,accounting policies,11
84,ecosystem enhancement,11
85,Stakeholder Engagement,11
86,stakeholder communication,11
87,employee turnover,11
88,Governance structure,11
89,financial risk management,11
90,climate risk,11
91,materials,11
92,fire prevention,10
93,performance management,10
94,sustainable finance,10
95,Occupational Health and Safety,10
96,reforestation,10
97,water consumption,10
98,training,10
99,economic empowerment,10
100,information disclosure,10
101,climate change,10
102,career development,10
103,renewable energy usage,10
104,executive compensation,9
105,disclosure,9
