"yt-simple-endpoint href","ytCoreImageHost src","yt-badge-shape__text","style-scope 6","inline-metadata-item","inline-metadata-item 2"
"https://www.youtube.com/watch?v=AhHKcDe94hE","https://i.ytimg.com/vi/AhHKcDe94hE/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCnRupGBUOnYT-qbCRkLPA8zflSOw","55:17","#PubexLive 2025 - PT Aneka Tambang Tbk (ANTM)","78 views","1 day ago"
"https://www.youtube.com/watch?v=TwsidRqaaW4&pp=0gcJCeAJAYcqIYzv","https://i.ytimg.com/vi/TwsidRqaaW4/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCwbsEC25EhNSAZtjP2Ypv0bX0NZA","38:39","#PubexLive 2025 - PT Mitra Keluarga Karyasehat Tbk (MIKA)","36 views","1 day ago"
"https://www.youtube.com/watch?v=88rm3rHtr6M&pp=0gcJCeAJAYcqIYzv","https://i.ytimg.com/vi/88rm3rHtr6M/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAAk8N2F4pLxriY5Cbvk48Urj2JyA","48:54","#PubexLive 2025 - PT Medela Potentia Tbk (MDLA)","62 views","1 day ago"
"https://www.youtube.com/watch?v=EGbG0435eMw&pp=0gcJCeAJAYcqIYzv","https://i.ytimg.com/vi/EGbG0435eMw/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCjaJUzrfEXKFxxce_H_mt8ESHFNg","40:16","#PubexLive 2025 - PT Indo Tambangraya Megah Tbk (ITMG)","161 views","1 day ago"
"https://www.youtube.com/watch?v=7BiJHebFluI","https://i.ytimg.com/vi/7BiJHebFluI/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAN9PomUqS-3_Iux002pEE07eK71g","46:31","#PubexLive 2025 - PT Medikaloka Hermina Tbk (HEAL)","21 views","1 day ago"
"https://www.youtube.com/watch?v=0qWPyyYYzss","https://i.ytimg.com/vi/0qWPyyYYzss/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDtK6am2Pbvt5O6L2rKyxwU7XIbNw","41:33","#PubexLive 2025 - PT Sarana Menara Nusantara Tbk (TOWR)","52 views","1 day ago"
"https://www.youtube.com/watch?v=paUFxwsRe64","https://i.ytimg.com/vi/paUFxwsRe64/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDMjnB6dU2_rPXMejxAW3H79xq9DQ","40:09","#PubexLive 2025 - PT Bangun Kosambi Sukses Tbk (CBDK)","50 views","2 days ago"
"https://www.youtube.com/watch?v=un6ZFT5Ye0A","https://i.ytimg.com/vi/un6ZFT5Ye0A/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAvTms8cyakrV6hc4hgXvZTdtclfA","46:08","#PubexLive 2025 - PT Bank Central Asia Tbk (BBCA)","118 views","2 days ago"
"https://www.youtube.com/watch?v=wWq-QmTH4pc","https://i.ytimg.com/vi/wWq-QmTH4pc/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDL_L7IvgoHosBym0fWiAgupI30Mg","41:44","#PubexLive 2025 - PT Solusi Sinergi Digital Tbk (WIFI)","48 views","2 days ago"
"https://www.youtube.com/watch?v=ZmJULTyW8RE","https://i.ytimg.com/vi/ZmJULTyW8RE/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD-hQdkgAuRjctqBVTSwqb4bWDsBg","36:29","#PubexLive 2025 - PT Trimitra Trans Persada Tbk (BLOG)","49 views","2 days ago"
