"f-20","box-title","full-width","table","link-download href","table 2","link-download href 2","table 3","link-download href 3","table 4","link-download href 4","table 5","link-download href 5","table 6","link-download href 6","table 7","link-download href 7"
"AADI","30 April 2026 |
								16:51","PT Adaro Andalan Indonesia Tbk","FinancialStatement-2026-I-AADI.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/AADI/FinancialStatement-2026-I-AADI.pdf","FS Adaro Andalan Indonesia - 31 March 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/AADI/FS%20Adaro%20Andalan%20Indonesia%20-%2031%20March%202026.pdf","FinancialStatement-2026-I-AADI.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/AADI/FinancialStatement-2026-I-AADI.xlsx","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/AADI/instance.zip","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/AADI/inlineXBRL.zip","","","",""
"AALI","28 April 2026 |
								16:30","Astra Agro Lestari Tbk","AALI Checklist Pengungkapan LK TW I 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/AALI/AALI%20Checklist%20Pengungkapan%20LK%20TW%20I%202026.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/AALI/instance.zip","AALI Surat Pernyataan Direksi LK TW I 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/AALI/AALI%20Surat%20Pernyataan%20Direksi%20LK%20TW%20I%202026.pdf","FinancialStatement-2026-I-AALI.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/AALI/FinancialStatement-2026-I-AALI.xlsx","FinancialStatement-2026-I-AALI.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/AALI/FinancialStatement-2026-I-AALI.pdf","AALI LK TW I 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/AALI/AALI%20LK%20TW%20I%202026.pdf","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/AALI/inlineXBRL.zip"
"ABBA","28 April 2026 |
								17:14","Mahaka Media Tbk","FinancialStatement-2026-I-ABBA.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABBA/FinancialStatement-2026-I-ABBA.pdf","Lapkeu ABBA Q1 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABBA/Lapkeu%20ABBA%20Q1%202026.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABBA/instance.zip","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABBA/inlineXBRL.zip","Surat Pernyataan Direksi PT ABBA.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABBA/Surat%20Pernyataan%20Direksi%20PT%20ABBA.pdf","Surat_Pengantar LK ABBA.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABBA/Surat_Pengantar%20LK%20ABBA.pdf","FinancialStatement-2026-I-ABBA.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABBA/FinancialStatement-2026-I-ABBA.xlsx"
"ABDA","30 April 2026 |
								14:18","PT Asuransi Bina Dana Arta Tbk","FinancialStatement-2026-I-ABDA.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABDA/FinancialStatement-2026-I-ABDA.xlsx","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABDA/inlineXBRL.zip","Laporan Keuangan TW I 2026 - ABDA.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABDA/Laporan%20Keuangan%20TW%20I%202026%20-%20ABDA.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABDA/instance.zip","Surat Pernyataan Manajemen I - 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABDA/Surat%20Pernyataan%20Manajemen%20I%20-%202026.pdf","FinancialStatement-2026-I-ABDA.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABDA/FinancialStatement-2026-I-ABDA.pdf","",""
"ABMM","30 April 2026 |
								23:55","ABM Investama Tbk","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABMM/inlineXBRL.zip","FinancialStatement-2026-I-ABMM.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABMM/FinancialStatement-2026-I-ABMM.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABMM/instance.zip","ABMM as of Mar 26_fin.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABMM/ABMM%20as%20of%20Mar%2026_fin.pdf","Surat Penyampaian Q1 2026 - Signed.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABMM/Surat%20Penyampaian%20Q1%202026%20-%20Signed.pdf","Surat Tidak Lebih 20 persen - Signed.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABMM/Surat%20Tidak%20Lebih%2020%20persen%20-%20Signed.pdf","FinancialStatement-2026-I-ABMM.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ABMM/FinancialStatement-2026-I-ABMM.xlsx"
"ACES","30 April 2026 |
								16:34","PT Aspirasi Hidup Indonesia Tbk","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACES/inlineXBRL.zip","FinancialStatement-2026-I-ACES.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACES/FinancialStatement-2026-I-ACES.xlsx","Cover Letter LK ACES 1Q2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACES/Cover%20Letter%20LK%20ACES%201Q2026.pdf","AHI - Checklist Q1 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACES/AHI%20-%20Checklist%20Q1%202026.pdf","LK ACES 1Q2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACES/LK%20ACES%201Q2026.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACES/instance.zip","FinancialStatement-2026-I-ACES.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACES/FinancialStatement-2026-I-ACES.pdf"
"ACRO","30 April 2026 |
								18:55","PT Samcro Hyosung Adilestari Tbk.","2604 PT Samcro Hyosung Adilestari Tbk - Q1.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACRO/2604%20PT%20Samcro%20Hyosung%20Adilestari%20Tbk%20-%20Q1.pdf","ACRO_SPD LK PER 31 MARET 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACRO/ACRO_SPD%20LK%20PER%2031%20MARET%202026.pdf","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACRO/inlineXBRL.zip","ACRO_Penjelasan Perubahan Aset dan liabilitas.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACRO/ACRO_Penjelasan%20Perubahan%20Aset%20dan%20liabilitas.pdf","FinancialStatement-2026-I-ACRO.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACRO/FinancialStatement-2026-I-ACRO.xlsx","ACRO_Surat Pengantar LK UnAudited Q1 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACRO/ACRO_Surat%20Pengantar%20LK%20UnAudited%20Q1%202026.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACRO/instance.zip"
"ACST","27 April 2026 |
								18:14","PT Acset Indonusa Tbk.","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACST/instance.zip","FinancialStatement-2026-I-ACST.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACST/FinancialStatement-2026-I-ACST.pdf","FinancialStatement-2026-I-ACST.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACST/FinancialStatement-2026-I-ACST.xlsx","Kenaikan Aset Liabilitas 20 Persen Maret 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACST/Kenaikan%20Aset%20Liabilitas%2020%20Persen%20Maret%202026.pdf","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACST/inlineXBRL.zip","Pengantar LK ACSET periode Maret 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACST/Pengantar%20LK%20ACSET%20periode%20Maret%202026.pdf","FS PT Acset Indonusa Tbk - 032026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ACST/FS%20PT%20Acset%20Indonusa%20Tbk%20-%20032026.pdf"
"ADCP","01 Mei 2026 |
								19:46","PT Adhi Commuter Properti Tbk","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ADCP/instance.zip","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ADCP/inlineXBRL.zip","Surat Pengantar LK TW1 26.pdf.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ADCP/Surat%20Pengantar%20LK%20TW1%2026.pdf.pdf","ADCP LK TW1 2026..pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ADCP/ADCP%20LK%20TW1%202026..pdf","FinancialStatement-2026-I-ADCP.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ADCP/FinancialStatement-2026-I-ADCP.pdf","FinancialStatement-2026-I-ADCP.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ADCP/FinancialStatement-2026-I-ADCP.xlsx","",""
"ADES","29 April 2026 |
								09:14","Akasha Wira International Tbk  Tbk","FinancialStatement-2026-I-ADES.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ADES/FinancialStatement-2026-I-ADES.pdf","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ADES/inlineXBRL.zip","FinancialStatement-2026-I-ADES.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ADES/FinancialStatement-2026-I-ADES.xlsx","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ADES/instance.zip","PENJELASAN OJK_31MAR 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ADES/PENJELASAN%20OJK_31MAR%202026.pdf","AWI REPORT MAR 2026_1.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/ADES/AWI%20REPORT%20MAR%202026_1.pdf","",""
