date,title,doi,authors,journal,short_journal,volume,year,publisher,issue,page,abstract
2021-12-01,The Bond Market in Indonesia:,10.22617/tcs210472-2,,,,,2021,Asian Development Bank,,,"The views expressed in this publication are those of the authors and do not necessarily reflect the views and policies of the Asian Development Bank (ADB) or its Board of Governors or the governments they represent.ADB does not guarantee the accuracy of the data included in this publication and accepts no responsibility for any consequence of their use. The mention of specific companies or products of manufacturers does not imply that they are endorsed or recommended by ADB in preference to others of a similar nature that are not mentioned.By making any designation of or reference to a particular territory or geographic area, or by using the term ""economy"" in this document, ADB does not intend to make any judgments as to the legal or other status of any territory or area."
2023-01-01,ESG in the Financial Industry: What Matters for Rating Analysts?,10.2139/ssrn.4359928,"Oumaima Lahmar, Marco Mandas, Luca Piras, Riccardo De Lisa",,,,2023,Elsevier BV,,,
2023-11-23,Six decades of corporate disclosure research: a bibliometric review,10.1108/mf-01-2023-0020,"Anjali Srivastava, Anand Anand",Managerial Finance,MF,50,2023,Emerald,4,768-790,"PurposeCorporate disclosures are essential because they provide transparent and accurate information about a company's financial health, performance, risks and governance practices. They enable investors to make informed decisions, promote market efficiency and maintain trust in the financial system. This paper uses bibliometrics to identify the intellectual composition of the literature on corporate disclosure.Design/methodology/approachBased on the bibliometric information of 4,551 articles on corporate disclosure research, the authors conducted citation, keyword co-occurrence, bibliographic coupling and publication analyses to elucidate the leading articles, authors, sources, institutions, countries, themes and topics in the field of corporate disclosure from the 1960s to 2021.FindingsThe findings of this review demonstrate that corporate disclosure research is based on four broad themes – the role of disclosure in capital markets, non-financial disclosure, determinants of corporate disclosure and firm risk and intellectual capital disclosure. This review suggests that management should pay attention to the financial and non-financial corporate information that investors, regulators and the government emphasise.Originality/valueThis paper is the first comprehensive bibliometric review on corporate disclosure. It summarises the regulatory shifts, technological changes and industry trends that have influenced corporate disclosure research. Besides identifying broad research themes, the authors performed bibliographic coupling for research on disclosure sources, including annual reports, management forecasts, earnings calls, press releases, the Internet and social media, to reveal the thematic clusters related to these sources."
2022-01-24,The Use of Technology in Corporate Management and Reporting of Climate-Related Risks,10.1007/s40804-021-00233-z,Andrea Miglionico,European Business Organization Law Review,Eur Bus Org Law Rev,23,2022,Springer Science and Business Media LLC,1,125-141,"AbstractSustainable finance and climate change have emerged as areas of renewed interest in the wake of the global financial crisis, when the assessment of companies’ risk management was shown to be the key to the prevention of systemic disruption. While many aspects of corporate disclosures were radically and quickly revised following the crisis, even several years later commentators have pointed to a continuing pressure for improvement to regulatory requirements in relation to financial statements. Much of the debate focuses on the need for expedited operational execution of reporting information. Over the past decade significant advances have taken place in digital technologies, especially with respect to the security and processing of granular data. This article examines how these new technologies can be deployed in a manner that will address the need to eliminate the vulnerabilities of the climate risk management process, which requires standardisation of data in order to improve managerial decision-making and the desired outcomes. It further explores the use of technology to enhance the evaluation of climate change impact on company exposures, and to advance transparency in regulatory reporting for financial institutions. Technology applications such as automated language systems offer opportunities to align corporate disclosure with climate change policy objectives, which in turn can increase sustainability in the performance of companies’ activities."
2023-12-14,A Streamline Sustainable Business Performance Reporting Model by an Integrated FinESG Approach,10.3390/su152416860,"Victoria Bogdan, Luminița Rus, Dana Simona Gherai, Adrian-Gheorghe FLOREA, Nicoleta Bugnar",Sustainability,Sustainability,15,2023,MDPI AG,24,16860,"ESG reporting and disclosure enable financial performance by attracting revenues and optimizing managerial decisions. Within this landscape falls the present study that aimed to examine the quality of ESG reporting connected to the financial performance of listed companies. Stratified analysis revealed four groups of companies according to the average value of ROA and ROE indicators, as well as four classes according to the average ESG disclosure score. The analysis of GRI topics and materiality disclosure scores showed an average disclosure level on ESG components, located between a satisfactory and a good level of disclosure. Also, companies were found to be more inclined to disclose data on the sustainability strategy but provided poor and vague information on the business model. The results of comparative clustering analysis based on FinESG reporting and disclosure scores showed that 31.57% of companies maintained their position in the final ranking. Content analysis of sustainability reports by Leximancer, v.5.0 software highlighted that the most salient topic was “employees”, and it revealed correlations between the themes “employees” and “emissions”. The practical implications of the study were found in the promotion of an integrated reporting that best meets the needs of both stakeholders and those of environmental protection and the development of society."
2023-11-10,"Renovation in environmental, social and governance (ESG) research: the application of machine learning",10.1108/ara-07-2023-0201,"Abby Yaqing Zhang, Joseph H. Zhang",Asian Review of Accounting,ARA,32,2023,Emerald,4,554-572,"PurposeEnvironmental, social and governance (ESG) factors have become increasingly important in investment decisions, leading to a surge in ESG investing and the rise of sustainable investment assets. Nevertheless, challenges in ESG disclosure, such as quantifying unstructured data, lack of guidelines and comparability, rampantly exist. ESG rating agencies play a crucial role in assessing corporate ESG performance, but concerns over their credibility and reliability persist. To address these issues, researchers are increasingly utilizing machine learning (ML) tools to enhance ESG reporting and evaluation. By leveraging ML, accounting practitioners and researchers gain deeper insights into the relationship between ESG practices and financial performance, offering a more data-driven understanding of ESG impacts on business communities.Design/methodology/approachThe authors review the current research on ESG disclosure and ESG performance disagreement, followed by the review of current ESG research with ML tools in three areas: connecting ML with ESG disclosures, integrating ML with ESG rating disagreement and employing ML with ESG in other settings. By comparing different research's ML applications in ESG research, the authors conclude the positive and negative sides of those research studies.FindingsThe practice of ESG reporting and assurance is on the rise, but still in its technical infancy. ML methods offer advantages over traditional approaches in accounting, efficiently handling large, unstructured data and capturing complex patterns, contributing to their superiority. ML methods excel in prediction accuracy, making them ideal for tasks like fraud detection and financial forecasting. Their adaptability and feature interaction capabilities make them well-suited for addressing diverse and evolving accounting problems, surpassing traditional methods in accuracy and insight.Originality/valueThe authors broadly review the accounting research with the ML method in ESG-related issues. By emphasizing the advantages of ML compared to traditional methods, the authors offer suggestions for future research in ML applications in ESG-related fields."
2025-07-23,"Transforming
                    <scp>ESG</scp>
                    Analytics With Machine Learning: A Systematic Literature Review Using
                    <scp>TCCM</scp>
                    Framework",10.1002/csr.70089,Richard Yeaw Chong Seow,Corporate Social Responsibility and Environmental Management,Corp Soc Responsibility Env,32,2025,Wiley,6,7358-7389,"ABSTRACTThe integration of machine learning into environmental, social, and governance (ESG) research has gained significant traction, offering advanced predictive capabilities, enhanced decision‐making, and improved transparency in sustainable finance. Despite a growing body of literature, no systematic effort has been made to comprehensively map the intersection of ESG and machine learning. This study conducts a systematic literature review, synthesizing insights from 57 high‐quality articles published between 2004 and 2024 on the Web of Science and Scopus. Employing bibliometric analysis, thematic analysis, and the TCCM framework, this study identifies dominant research themes, methodological advancements, and persistent gaps in ESG‐machine learning literature. Findings reveal the increasing application of machine learning in ESG score prediction, risk assessment, investment decision‐making, and controversy detection while highlighting key challenges such as data standardization, model explainability, and algorithmic bias. Random Forest consistently demonstrated the highest prediction accuracy across several studies. This study offers valuable implications for academics, practitioners, and policymakers, providing a structured foundation for advancing ESG analytics and fostering responsible artificial intelligence‐driven sustainability strategies."
2023-02-24,Understanding Corporate Sustainability Disclosures from the Securities Exchange Commission Filings,10.3390/su15054134,"Wullianallur Raghupathi, Sarah J. Wu, Viju Raghupathi",Sustainability,Sustainability,15,2023,MDPI AG,5,4134,"As sustainability becomes fundamental to companies, voluntary and mandatory disclosures or corporate sustainability practices have become a key source of information for various stakeholders, including regulatory bodies, environmental watchdogs, nonprofits and NGOs, investors, shareholders, and the public at large. Understanding sustainability practices by analyzing a large volume of disclosures poses major challenges, given that the information is mostly in the form of text. Applying machine learning and text analytic methods, we analyzed approximately 25,428 disclosure reports for the period of 2011 to 2020, extracted from the Securities and Exchange Commission (SEC) filings and made available at the Ceres website via application programming interfaces (APIs). Our study identified six industry clusters from the K-means and six main topics from the latent Dirichlet allocation (LDA) method that related to the disclosure of climate-change-related environmental concerns. Both methods produced overlapping results that further reinforce and enhance our understanding of climate-change-related disclosure at various levels, such as sector, industry, and topic. Our analysis shows that companies are concerned primarily with the topics of gas emission, carbon risk, climate change, loss and damage, renewable energy, and financial impact when disclosing climate-change-related issues to the government. The study has implications for corporate sustainability practices, the communication and dissemination of such practices to stakeholders at large and furthering our understanding of sustainability in general."
2024-10-24,SUSTAINABLE FINANCE AND DATA ANALYTICS: A SYSTEMATIC REVIEW OF ESG DATA IN INVESTMENT DECISIONS,10.69593/ajbais.v4i04.130,"Shaharima Juthi, Md Kamrujjaman, Asha Moni Mistry, Md Alauddin",,AJBAIS,4,2024,All Academic Research,04,70-88,"This systematic review investigates the role of Environmental, Social, and Governance (ESG) data in corporate financial performance and investment decision-making. Following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, a total of 1,200 articles were initially identified, and through a rigorous screening process, 70 peer-reviewed studies were included in the final analysis. The review reveals significant findings on the positive correlation between high ESG scores and improved long-term financial returns, particularly during periods of market volatility such as the COVID-19 pandemic. Companies with strong ESG practices, especially in areas of environmental sustainability and corporate governance, demonstrated enhanced risk management capabilities and financial resilience. The study also highlights notable sectoral and geographical differences, where environmental factors had a more pronounced impact in high-risk industries like energy and manufacturing, and companies in regions with stricter ESG regulations, such as Europe, showed better financial outcomes. Furthermore, the growing role of AI and machine learning in ESG data collection and analysis is emphasized, as these technologies enable more accurate, real-time risk assessment and decision-making. However, challenges remain in the standardization of social and governance metrics, and there is a need for more longitudinal studies to fully understand the long-term impact of ESG practices. Overall, this review provides a comprehensive analysis of the current state of ESG research and its implications for sustainable corporate performance and investment strategies."
2020-01-01,Application of Text Mining to the Analysis of Climate-Related Disclosures,10.2139/ssrn.3738629,"A Moreno, Teresa Caminero",SSRN Electronic Journal,SSRN Journal,,2020,Elsevier BV,,,"The Working Paper Series seeks to disseminate original research in economics and fi nance. All papers have been anonymously refereed. By publishing these papers, the Banco de España aims to contribute to economic analysis and, in particular, to knowledge of the Spanish economy and its international environment.The opinions and analyses in the Working Paper Series are the responsibility of the authors and, therefore, do not necessarily coincide with those of the Banco de España or the Eurosystem.The Banco de España disseminates its main reports and most of its publications via the Internet at the following website: http://www.bde.es.Reproduction for educational and non-commercial purposes is permitted provided that the source is acknowledged."
2025-08-01,"Cross-lingual aspect-based sentiment analysis: A survey on tasks, approaches, and challenges",10.1016/j.inffus.2025.103073,"Jakub Šmíd, Pavel Král",Information Fusion,Information Fusion,120,2025,Elsevier BV,,103073,
2024-07-19,Identifying greenwashing in corporate‐social responsibility reports using natural‐language processing,10.1111/eufm.12509,"Nina Gorovaia, Michalis Makrominas",European Financial Management,Euro Fin Management,31,2024,Wiley,1,427-462,"AbstractA textual analysis of corporate‐social responsibility (CSR) reports reveals that companies engaged in environmental violations report differently from firms with a clean record. The violators issue longer, more positive and more frequent reports to relay environmental content that is more copious but less readable. The violator firms appear to modify their reporting practices right after committing a violation. The findings suggest that culpable firms exploit the current unregulated–unaudited state of CSR reporting as a means of greenwashing and call for institutional change. Our results are robust to a number of industry‐firm characteristics, including board composition, ownership dispersion and international presence."
