DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.48550/arxiv.2510.18234,DeepSeek-OCR: Contexts Optical Compression,"Haoran Wei, Yaofeng Sun, Yukun Li",arXiv.org,2025,"We present DeepSeek-OCR as an initial investigation into the feasibility of compressing long contexts via optical 2D mapping. DeepSeek-OCR consists of two components: DeepEncoder and DeepSeek3B-MoE-A570M as the decoder. Specifically, DeepEncoder serves as the core engine, designed to maintain low activations under high-resolution input while achieving high compression ratios to ensure an optimal and manageable number of vision tokens. Experiments show that when the number of text tokens is within 10 times that of vision tokens (i.e., a compression ratio<10x), the model can achieve decoding (OCR) precision of 97%. Even at a compression ratio of 20x, the OCR accuracy still remains at about 60%. This shows considerable promise for research areas such as historical long-context compression and memory forgetting mechanisms in LLMs. Beyond this, DeepSeek-OCR also demonstrates high practical value. On OmniDocBench, it surpasses GOT-OCR2.0 (256 tokens/page) using only 100 vision tokens, and outperforms MinerU2.0 (6000+ tokens per page on average) while utilizing fewer than 800 vision tokens. In production, DeepSeek-OCR can generate training data for LLMs/VLMs at a scale of 200k+ pages per day (a single A100-40G). Codes and model weights are publicly accessible at http://github.com/deepseek-ai/DeepSeek-OCR.",291921080,188,51,,thesis
10.1002/bse.3063,Are corporate climate efforts genuine? An empirical analysis of the climate ‘talk–walk’ hypothesis,"D. Coen, Kyle Herman, T. Pegram",Business Strategy and the Environment,2022,"This study conducts machine-aided textual analysis on 725 corporate sustainability reports and empirically tests whether climate ‘ talk ’ within the sampled reports trans-lates into performance ‘ walk ’ , proxied by changes in greenhouse gas emissions over a 10-year period. We find mixed results for the ‘ talk – walk ’ hypothesis, depending on the type of talk and the associated climate change actors involved. Indeed, our empirical models show that while some climate commitments are genuine, many constitute little more than ‘ greenwashing ’ — producing symbolic rather than substantive action. We attribute this result to false signalling of climate transitioning in order to mislead due to misaligned incentives. An unexpected positive finding of the study is that talk about operational improvements is a significant predictor of climate performance improvement. On the other hand, reactive strategies are consistent with poor climate performance. Our findings highlight the significance of corporate climate strategies other than emissions reductions in assessing the effective contribution of business to the climate transition.",212303776,132,103,,thesis
10.1002/sd.3351,Introducing the New ESG-Based Sustainability Uncertainty Index (ESGUI),"Serdar Ongan, Ismet Gocer, Cem Işık",Sustainable Development,2025,"Rising uncertainties can affect countries' sustainability efforts. Therefore, this study develops and introduces a new ESG‐based sustainability uncertainty index (metric) called ESGUI for the first time. This new index is necessary to better analyze how uncertainties based on ESG (environmental, social, governance) factors, increasingly prominent in the modern business world, are reflected in investment processes. Accurate ESG risks are critical for investors and policymakers. To create this index, we employed text mining techniques on the Economist Intelligence Unit's monthly country reports, analyzing the frequency of ESG‐related keywords and uncertainty indicators. Specifically, the world uncertainty index was integrated into the ESG for 25 countries between 2002M11 and 2024M09. The index's reliability was validated through a vector autoregression model and cross‐referenced with control variables graphically. The findings indicate that the ESGUI exhibits significant correlations with existing measures such as the World Uncertainty Index (WUI) and Economic Policy Uncertainty (EPU) index, thus evidencing the index's robustness. This new index will help policymakers better manage sustainability uncertainties, develop sustainable economic policies, and help investors evaluate ESG‐related risks and opportunities more effectively.",283959773,109,54,,thesis
10.1002/sd.3351,Introducing the New <scp>ESG</scp>-Based Sustainability Uncertainty Index (<scp>ESGUI</scp>),"Serdar Ongan, İsmet Göçer, Cem Işık",Sustainable Development,2025,"ABSTRACT Rising uncertainties can affect countries' sustainability efforts. Therefore, this study develops and introduces a new ESG‐based sustainability uncertainty index (metric) called ESGUI for the first time. This new index is necessary to better analyze how uncertainties based on ESG (environmental, social, governance) factors, increasingly prominent in the modern business world, are reflected in investment processes. Accurate ESG risks are critical for investors and policymakers. To create this index, we employed text mining techniques on the Economist Intelligence Unit's monthly country reports, analyzing the frequency of ESG‐related keywords and uncertainty indicators. Specifically, the world uncertainty index was integrated into the ESG for 25 countries between 2002M11 and 2024M09. The index's reliability was validated through a vector autoregression model and cross‐referenced with control variables graphically. The findings indicate that the ESGUI exhibits significant correlations with existing measures such as the World Uncertainty Index (WUI) and Economic Policy Uncertainty (EPU) index, thus evidencing the index's robustness. This new index will help policymakers better manage sustainability uncertainties, develop sustainable economic policies, and help investors evaluate ESG‐related risks and opportunities more effectively.",283253642,102,64,,thesis
10.48550/arxiv.2307.15770,CHATREPORT: Democratizing Sustainability Disclosure Analysis through LLM-based Tools,"Jingwei Ni, J. Bingler, Chiara Colesanti-Senni, Mathias Kraus, Glen Gostlow, Tobias Schimanski, Dominik Stammbach, S. Vaghefi, Qian Wang, Nicolas Webersinke, Tobias Wekhof, Ting Yu, Markus Leippold",Conference on Empirical Methods in Natural Language Processing,2023,"In the face of climate change, are companies really taking substantial steps toward more sustainable operations? A comprehensive answer lies in the dense, information-rich landscape of corporate sustainability reports. However, the sheer volume and complexity of these reports make human analysis very costly. Therefore, only a few entities worldwide have the resources to analyze these reports at scale, which leads to a lack of transparency in sustainability reporting. Empowering stakeholders with LLM-based automatic analysis tools can be a promising way to democratize sustainability report analysis. However, developing such tools is challenging due to (1) the hallucination of LLMs and (2) the inefficiency of bringing domain experts into the AI development loop. In this paper, we ChatReport, a novel LLM-based system to automate the analysis of corporate sustainability reports, addressing existing challenges by (1) making the answers traceable to reduce the harm of hallucination and (2) actively involving domain experts in the development loop. We make our methodology, annotated datasets, and generated analyses of 1015 reports publicly available.",264882146,85,50,,thesis
10.48550/arxiv.2510.14528,PaddleOCR-VL: Boosting Multilingual Document Parsing via a 0.9B Ultra-Compact Vision-Language Model,"Cheng Cui, Ting Sun, Suyin Liang, Tingquan Gao, Zelun Zhang, Jiaxuan Liu, Xueqing Wang, Changda Zhou, Hongen Liu, Manhui Lin, Yue Zhang, Yubo Zhang, Handong Zheng, Jing Zhang, Jun Zhang, Yi Liu, Dianhai Yu, Yanjun Ma",arXiv (Cornell University),2025,"In this report, we propose PaddleOCR-VL, a SOTA and resource-efficient model tailored for document parsing. Its core component is PaddleOCR-VL-0.9B, a compact yet powerful vision-language model (VLM) that integrates a NaViT-style dynamic resolution visual encoder with the ERNIE-4.5-0.3B language model to enable accurate element recognition. This innovative model efficiently supports 109 languages and excels in recognizing complex elements (e.g., text, tables, formulas, and charts), while maintaining minimal resource consumption. Through comprehensive evaluations on widely used public benchmarks and in-house benchmarks, PaddleOCR-VL achieves SOTA performance in both page-level document parsing and element-level recognition. It significantly outperforms existing solutions, exhibits strong competitiveness against top-tier VLMs, and delivers fast inference speeds. These strengths make it highly suitable for practical deployment in real-world scenarios. Code is available at https://github.com/PaddlePaddle/PaddleOCR .",292148316,80,0,,thesis
10.3390/su151712731,Practical AI Cases for Solving ESG Challenges,"E. Burnaev, E. Mironov, A. Shpilman, Maxim Mironenko, Dmitry Katalevsky",Sustainability,2023,"Artificial intelligence (AI) is a rapidly advancing area of research that encompasses numerical methods to solve various prediction, optimization, and classification/clustering problems. Recently, AI tools were proposed to address the environmental, social, and governance (ESG) challenges associated with sustainable business development. While many publications discuss the potential of AI, few focus on practical cases in the three ESG domains altogether, and even fewer highlight the challenges that AI may pose in terms of ESG. The current paper fills this gap by reviewing practical AI applications with a main focus on IT and engineering implementations. The considered cases are based on almost one hundred publicly available research manuscripts and reports obtained via online search engines. This review involves the study of typical business and production problems associated with each ESG domain, gives background details on several selected cases (such as carbon neutrality, land management, and ESG scoring), and lists challenges that the smart algorithms can pose (such as fake news generation and increased electricity consumption). Overall, it is concluded that, while many practical cases already exist, AI in ESG is still very far away from reaching its full potential; however, one should always remember that AI itself can lead to some ESG risks.",264219599,58,81,,thesis
10.1108/ara-07-2023-0201,"Renovation in environmental, social and governance (ESG) research: the application of machine learning","Abby Yaqing Zhang, Joseph H. Zhang",Asian Review of Accounting,2023,"PurposeEnvironmental, social and governance (ESG) factors have become increasingly important in investment decisions, leading to a surge in ESG investing and the rise of sustainable investment assets. Nevertheless, challenges in ESG disclosure, such as quantifying unstructured data, lack of guidelines and comparability, rampantly exist. ESG rating agencies play a crucial role in assessing corporate ESG performance, but concerns over their credibility and reliability persist. To address these issues, researchers are increasingly utilizing machine learning (ML) tools to enhance ESG reporting and evaluation. By leveraging ML, accounting practitioners and researchers gain deeper insights into the relationship between ESG practices and financial performance, offering a more data-driven understanding of ESG impacts on business communities.Design/methodology/approachThe authors review the current research on ESG disclosure and ESG performance disagreement, followed by the review of current ESG research with ML tools in three areas: connecting ML with ESG disclosures, integrating ML with ESG rating disagreement and employing ML with ESG in other settings. By comparing different research's ML applications in ESG research, the authors conclude the positive and negative sides of those research studies.FindingsThe practice of ESG reporting and assurance is on the rise, but still in its technical infancy. ML methods offer advantages over traditional approaches in accounting, efficiently handling large, unstructured data and capturing complex patterns, contributing to their superiority. ML methods excel in prediction accuracy, making them ideal for tasks like fraud detection and financial forecasting. Their adaptability and feature interaction capabilities make them well-suited for addressing diverse and evolving accounting problems, surpassing traditional methods in accuracy and insight.Originality/valueThe authors broadly review the accounting research with the ML method in ESG-related issues. By emphasizing the advantages of ML compared to traditional methods, the authors offer suggestions for future research in ML applications in ESG-related fields.",266517549,50,109,,thesis
10.18653/v1/2022.findings-naacl.192,MTG: A Benchmark Suite for Multilingual Text Generation,"Yiran Chen, Zhenqiao Song, Xianze Wu, Danqing Wang, Jingjing Xu, Jiaze Chen, Hao Zhou, Lei Li",NAACL-HLT,2021,"We introduce MTG, a new benchmark suite for training and evaluating multilingual text generation. It is the first-proposed multilingual multiway text generation dataset with the largest human-annotated data (400k). It includes four generation tasks (story generation, question generation, title generation and text summarization) across five languages (English, German, French, Spanish and Chinese). The multiway setup enables testing knowledge transfer capabilities for a model across languages and tasks. Using MTG, we train and analyze several popular multilingual generation models from different aspects. Our benchmark suite fosters model performance enhancement with more human-annotated parallel data. It provides comprehensive evaluations with diverse generation scenarios. Code and data are available at \url{https://github.com/zide05/MTG}.",257233677,43,66,,thesis
10.3390/jcm14155490,Large Language Models for Adverse Drug Events: A Clinical Perspective,"Md Muntasir Zitu, Dwight H. Owen, Ashish Manne, Ping Wei, Lang Li",Journal of Clinical Medicine,2025,"Adverse drug events (ADEs) significantly impact patient safety and health outcomes. Manual ADE detection from clinical narratives is time-consuming, labor-intensive, and costly. Recent advancements in large language models (LLMs), including transformer-based architectures such as Bidirectional Encoder Representations from Transformers (BERT) and Generative Pretrained Transformer (GPT) series, offer promising methods for automating ADE extraction from clinical data. These models have been applied to various aspects of pharmacovigilance and clinical decision support, demonstrating potential in extracting ADE-related information from real-world clinical data. Additionally, chatbot-assisted systems have been explored as tools in clinical management, aiding in medication adherence, patient engagement, and symptom monitoring. This narrative review synthesizes the current state of LLMs in ADE detection from a clinical perspective, organizing studies into categories such as human-facing decision support tools, immune-related ADE detection, cancer-related and non-cancer-related ADE surveillance, and personalized decision support systems. In total, 39 articles were included in this review. Across domains, LLM-driven methods have demonstrated promising performances, often outperforming traditional approaches. However, critical limitations persist, such as domain-specific variability in model performance, interpretability challenges, data quality and privacy concerns, and infrastructure requirements. By addressing these challenges, LLM-based ADE detection could enhance pharmacovigilance practices, improve patient safety outcomes, and optimize clinical workflows.",289627650,10,70,,thesis
