DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
(missing DOI),"Comply or explain, disclosure statement : how to implement the OJK-corporate governance guideline for public companies","Chris Razook, Leyal Erkurtoglu Savas",(missing journal),2016,"The Financial Services Authority (OJK) has introduced regulation concerning the implementation of the Corporate Governance Guideline for Public Companies (CG Guideline). The regulation, together with circular letter, requires public companies to make corporate governance disclosures in annual reports ending on 31 December 2016. The disclosures on aspects, principles and recommendations of good corporate governance are to be made on a Comply or Explain basis. This note provides insights on how to draft the disclosure statement to ensure compliance with the regulation.",20491702,1,0,,thesis_draft
10.1145/3503044,A Survey on Aspect-Based Sentiment Classification,"Gianni Brauwers, Flavius Frasincar",ACM Computing Surveys,2021,"With the constantly growing number of reviews and other sentiment-bearing texts on the Web, the demand for automatic sentiment analysis algorithms continues to expand. Aspect-based sentiment classification (ABSC) allows for the automatic extraction of highly fine-grained sentiment information from text documents or sentences. In this survey, the rapidly evolving state of the research on ABSC is reviewed. A novel taxonomy is proposed that categorizes the ABSC models into three major categories: knowledge-based, machine learning, and hybrid models. This taxonomy is accompanied with summarizing overviews of the reported model performances, and both technical and intuitive explanations of the various ABSC models. State-of-the-art ABSC models are discussed, such as models based on the transformer model, and hybrid deep learning models that incorporate knowledge bases. Additionally, various techniques for representing the model inputs and evaluating the model outputs are reviewed. Furthermore, trends in the research on ABSC are identified and a discussion is provided on the ways in which the field of ABSC can be advanced in the future.",24300901,157,291,,thesis_draft
10.23969/jrak.v13i2.4473,SUSTAINABILITY BLUE DISCLOSURES: INDEX DEVELOPMENT AND PRELIMINARY IMPLEMENTATION,"Derry Wanta, J. Gunawan",Jurnal Riset Akuntansi Kontemporer,2021,"The aim of this paper is to develop a sustainability blue disclosure index and evaluating the implementation to provide preliminary findings through the information disclosed in annual reports. This disclosure considers blue economy activities namely Sustainability Blue Disclosures (SBD). A qualitative approach was applied in this study by the content analysis method. This research uses saturated sampling, taken all available annual reports from the listed fisheries and marine companies from 2015 to 2019 at the Indonesia Stock Exchange. These results may indicate that the companies are in the early stage to understand sustainability issues, including the availability and quality of raw materials, changing of environmental quality, working capital performance, fluctuation of the foreign exchange rate, and demand from the global markets.",29628720,4,0,,thesis_draft
10.3389/frobt.2020.00076,In Search of Trustworthy and Transparent Intelligent Systems With Human-Like Cognitive and Reasoning Capabilities,N. Pal,Frontiers in Robotics and AI,2020,"At present we are witnessing a tremendous interest in Artificial Intelligence (AI), particularly in Deep Learning (DL)/Deep Neural Networks (DNNs). One of the reasons appears to be the unmatched performance achieved by such systems. This has resulted in an enormous hope on such techniques and often these are viewed as all—cure solutions. But most of these systems cannot explain why a particular decision is made (black box) and sometimes miserably fail in cases where other systems would not. Consequently, in critical applications such as healthcare and defense practitioners do not like to trust such systems. Although an AI system is often designed taking inspiration from the brain, there is not much attempt to exploit cues from the brain in true sense. In our opinion, to realize intelligent systems with human like reasoning ability, we need to exploit knowledge from the brain science. Here we discuss a few findings in brain science that may help designing intelligent systems. We explain the relevance of transparency, explainability, learning from a few examples, and the trustworthiness of an AI system. We also discuss a few ways that may help to achieve these attributes in a learning system.",39545539,8,87,,thesis_draft
10.3846/jbem.2020.13225,"GREENWASHING BEHAVIOURS: CAUSES, TAXONOMY AND CONSEQUENCES BASED ON A SYSTEMATIC LITERATURE REVIEW","Zhi Yang, T. Nguyen, Hoang-Nam Nguyen, Thi Thien Nga Nguyen, Thi Thanh Huong Cao",(missing journal),2020,"This study used the systematic review methodology to examine peer-reviewed journal articles published in the Web of Science, ScienceDirect, Springer and Emerald Insight during the 2000–2020 period to analyse greenwashing. In an open market, the behaviours of state-owned enterprises (SOEs), private firms and multinational corporations (MNCs) pose an implicit greenwashing threat. Our focal point is to analyse corporate greenwashing in MNCs in host emerging markets, particularly in Asia, for two reasons. First, reports of greenwashing have increased around the world since Volkswagen was revealed to have falsified automobile emissions data. Second, MNCs play an important role in expanding market size and their behaviour is increasingly unpredictable. The analysis shows that MNCs tend to engage in greenwashing immediately after doing business in host emerging markets characterised by restricted regulations, clear market opportunities and low competitive pressure. When greenwashing occurs, it will harm the interests of not only consumers, but also society as a whole, despite offering significant benefits to existing stakeholders. In this case, the authorities should implement regulations to confront MNCs before attracting them, which should be enforced in practice.",72971582,290,124,,thesis_draft
10.2139/ssrn.4229146,ClimateBert: A Pretrained Language Model for Climate-Related Text,"Nicolas Webersinke, Mathias Kraus, J. Bingler, Markus Leippold",Social Science Research Network,2021,"Over the recent years, large pretrained language models (LM) have revolutionized the field of natural language processing (NLP). However, while pretraining on general language has been shown to work very well for common language, it has been observed that niche language poses problems. In particular, climate-related texts include specific language that common LMs can not represent accurately. We argue that this shortcoming of today's LMs limits the applicability of modern NLP to the broad field of text processing of climate-related texts. As a remedy, we propose CLIMATEBERT, a transformer-based language model that is further pretrained on over 2 million paragraphs of climate-related texts, crawled from various sources such as common news, research articles, and climate reporting of companies. We find that CLIMATEBERT leads to a 48% improvement on a masked language model objective which, in turn, leads to lowering error rates by 3.57% to 35.71% for various climate-related downstream tasks like text classification, sentiment analysis, and fact-checking.",88594505,259,54,,thesis_draft
10.1016/j.irfa.2021.101731,International variations in ESG disclosure – Do cross-listed companies care more?,"Ellen Pei-yi Yu, Bac Van Luu",International Review of Financial Analysis,2021,(missing abstract),97094710,297,93,,thesis_draft
10.18653/v1/s16-1002,SemEval-2016 Task 5: Aspect Based Sentiment Analysis,"Maria Pontiki, Dimitris Galanis, Haris Papageorgiou, S. Manandhar, Ion Androutsopoulos, Núria Bel, Gülşen Eryiğit",International Workshop on Semantic Evaluation,2016,"This paper describes the SemEval 2016 shared task on Aspect Based Sentiment Analysis (ABSA), a continuation of the respective tasks of 2014 and 2015. In its third year, the task provided 19 training and 20 testing datasets for 8 languages and 7 domains, as well as a common evaluation procedure. From these datasets, 25 were for sentence-level and 14 for text-level ABSA; the latter was introduced for the first time as a subtask in SemEval. The task attracted 245 submissions from 29 teams.",100988387,2046,70,,thesis_draft
10.1007/s11142-021-09609-5,Mandatory CSR and sustainability reporting: economic analysis and literature review,"Hans B. Christensen, Luzi Hail, Christian Leuz",Review of accounting studies,2021,"This study collates potential economic effects of mandated disclosure and reporting standards for corporate social responsibility (CSR) and sustainability topics. We first outline key features of CSR reporting. Next, we draw on relevant academic literatures in accounting, finance, economics, and management to discuss and evaluate the potential economic consequences of a requirement for CSR and sustainability reporting for U.S. firms, including effects in capital markets, on stakeholders other than investors, and on firm behavior. We also discuss issues related to the implementation and enforcement of CSR and sustainability reporting standards as well as two approaches to sustainability reporting that differ in their overarching goals and materiality standards. Our analysis yields a number of insights that are relevant for the current debate on mandatory CSR and sustainability reporting. It also points scholars to avenues for future research.",106810907,1338,538,,thesis_draft
10.1108/ara-02-2019-0045,The future of integrated reporting in an emerging market: an analysis of the disclosure conformity level,"D. Adhariani, Nick Sciulli",(missing journal),2020,"Purpose - This study provides an analysis of the possibility of companies in Indonesia to adopt integrated reporting (IR). This is undertaken by comparing the degree of conformity between current reporting disclosures with that of the IR framework. Design/methodology/approach - A mixed-method approach is employed, which entailed using both quantitative and qualitative techniques to access data. For the quantitative analysis, a total of 64 companies are chosen, which represent companies with significant market capitalization included in the LQ45 index (an index for the 45 most liquid stocks) in 2016 and the non-LQ45 by publishing a sustainability report. These companies are selected on the basis of high levels of disclosure compared with other companies and serve as an appropriate benchmark for other listed companies. The level of disclosure conformity is employed using 39 principle disclosure indices and 76 content disclosure indices based on the IR framework. For the qualitative analysis, interviews were conducted with nine interviewees that are considered as experts in the field of IR. The interviews are conducted to assist in providing explanations for the findings. Findings - The results indicate that approximately 60% of companies (mostly in the banking, finance and mining industries) have an adequate degree of conformity, reflecting their higher probability of voluntary compliance to apply the IR framework. However, the principles of conciseness and connectivity of information provide significant challenges for Indonesian firms when they will consider implementation. Further analysis using in-depth interviews with experts showed that several factors from various perspectives should be considered in shifting to IR. Originality/value - This study provides empirical evidence on the current reporting landscape of Indonesian firms. Scant research is available on the possible adoption of IR in emerging markets such as Indonesia. Hence, this project raises further possible explanations for the challenges and pressures faced by Indonesian firms in an era of changing stakeholder expectations.",111366993,14,38,,thesis_draft
10.18653/v1/2021.emnlp-main.726,Aspect Sentiment Quad Prediction as Paraphrase Generation,"Wenxuan Zhang, Yang Deng, Xin Li, Yifei Yuan, Lidong Bing, Wai Lam",arXiv (Cornell University),2021,"Aspect-based sentiment analysis (ABSA) has been extensively studied in recent years, which typically involves four fundamental sentiment elements, including the aspect category, aspect term, opinion term, and sentiment polarity. Existing studies usually consider the detection of partial sentiment elements, instead of predicting the four elements in one shot. In this work, we introduce the Aspect Sentiment Quad Prediction (ASQP) task, aiming to jointly detect all sentiment elements in quads for a given opinionated sentence, which can reveal a more comprehensive and complete aspect-level sentiment structure. We further propose a novel Paraphrase modeling paradigm to cast the ASQP task to a paraphrase generation process. On one hand, the generation formulation allows solving ASQP in an end-to-end manner, alleviating the potential error propagation in the pipeline solution. On the other hand, the semantics of the sentiment elements can be fully exploited by learning to generate them in the natural language form. Extensive experiments on benchmark datasets show the superiority of our proposed method and the capacity of cross-task transfer with the proposed unified Paraphrase modeling framework.",111424578,295,71,,thesis_draft
10.1080/14693062.2020.1858741,Governing sustainable finance: insights from Indonesia,Abidah B. Setyowati,Climate Policy,2020,"ABSTRACT Transforming financial systems has been considered a promising avenue to ensure financial flows consistent with low carbon and climate resilient development. An important first step to do so has often been the development of sustainable finance roadmaps. Drawing on key stakeholder interviews in Indonesia in 2019–2020, this article examines how Indonesia’s sustainable finance roadmap has unfolded on the ground and investigates key challenges to its effective implementation. The study finds that there has been high procedural compliance by financial institutions through developing sustainable finance action plans and submitting annual sustainability reports to the financial regulator. However, there is considerable variation and inconsistency in interpreting what constitutes a ‘green’ project among financial institutions, enabling some financial institutions to engage in little more than tokenism. With the limited regulatory oversight currently provided, it is difficult to see how financial institutions might be incentivised to do more or how tangible sustainability outcomes can be achieved. This article proposes potential means of overcoming some of the blockages in implementing the roadmap, which include greater intervention to incentivise climate finance by Indonesia’s central bank. Key policy insights Indonesia’s sustainable finance roadmap is well underway in which most financial institutions have been compliant to sustainable finance regulations. However, with limited substantive regulatory oversight it is difficult to see tangible sustainable outcomes; Sustainable finance regulations and regulatory oversight needs to be improved through enhanced disclosure standards and risk management processes and incentives for compliance; Greater intervention by Indonesia’s central bank is needed to fast-track sustainable finance by stipulating green macro prudential regulations that incentivise or direct resources away from carbon intensive sector.",113931793,90,44,,thesis_draft
10.1093/bioinformatics/btz528,HUNER: improving biomedical NER with pretraining,"Leon Weber, Jannes Munchmeyer, Tim Rocktäschel, Maryam Habibi, U. Leser",Bioinform.,2020,"MOTIVATION
Several recent studies showed that the application of deep neural networks advanced the state-of-the-art in named entity recognition (NER), including biomedical NER. However, the impact on performance and the robustness of improvements crucially depends on the availability of sufficiently large training corpora, which is a problem in the biomedical domain with its often rather small gold standard corpora.


RESULTS
We evaluate different methods for alleviating the data sparsity problem by pretraining a deep neural network (LSTM-CRF), followed by a rather short fine-tuning phase focusing on a particular corpus. Experiments were performed using 34 different corpora covering five different biomedical entity types, yielding an average increase in F1-score of ∼2 pp compared to learning without pretraining. We experimented both with supervised and semi-supervised pretraining, leading to interesting insights into the precision/recall trade-off. Based on our results, we created the stand-alone NER tool HUNER incorporating fully trained models for five entity types. On the independent CRAFT corpus, which was not used for creating HUNER, it outperforms the state-of-the-art tools GNormPlus and tmChem by 5 pp - 13 pp on the entity types chemicals, species, and genes.


AVAILABILITY
HUNER is freely available at https://hu-ner.github.io. HUNER comes in containers, making it easy to install and use, and it can be applied off-the-shelf to arbitrary texts. We also provide an integrated tool for obtaining and converting all 34 corpora used in our evaluation, including fixed training, development and test splits to enable fair comparisons in the future.


SUPPLEMENTARY INFORMATION
Supplementary data are available at Bioinformatics online.",127878678,74,30,,thesis_draft
10.1108/aaaj-02-2020-4445,Shifting the focus of sustainability accounting from impacts to risks and dependencies: researching the transformative potential of TCFD reporting,"Brendan O’Dwyer, Jeffrey Unerman","Accounting, Auditing & Accountability Journal",2020,"PurposeThis paper problematizes TCFD (Task Force on Climate-related Financial Disclosures) reporting in a way that demonstrates areas where academic research can contribute towards realizing the transformative potential of this unique form of sustainability accounting in its early stages of development.Design/methodology/approachThe paper proposes a number of research agendas for impactful interdisciplinary research into new forms of corporate reporting of sustainability risks, opportunities and dependencies.FindingsThere are several major challenges that both reporting corporations and investors need to address in realizing the potential of TCFD style risks, opportunities and dependencies reporting. Key among these is developing new practices of climate-related scenario analysis and reporting.Practical implicationsThere is potential for many different academic research studies to provide solid evidence in helping improve the practical impact of TCFD style sustainability reporting. These impacts may assist in moving corporate policies and actions towards zero carbon.Originality/valueThis is the first agenda-setting paper that addresses the need for, and opportunities of, academic research into TCFD reporting and its potential to transform corporate accounting and reporting of sustainability.",133743409,191,55,,thesis_draft
10.1108/jaee-10-2019-0194,Readability of sustainability reports: evidence from Indonesia,"D. Adhariani, E. Du Toit",Journal of Accounting in Emerging Economies,2020,"PurposeThis study aimed at investigating the readability of sustainability reports in Indonesia. The Indonesian government, through the Financial Services Authority of Indonesia (Otoritas Jasa Keuangan [OJK]), has issued regulation POJK 51/2017 concerning the implementation of sustainable finance, which requires public companies to prepare sustainability reports—either stand-alone reports or parts of annual reports. Until 2017, only 30% of the top public companies in terms of market capitalisation issued the required report. Companies' decisions to provide the report stem from the greater visibility and access to resources that flow from additional narratives. However, the usefulness of such a report can be questioned.Design/methodology/approachWe used several linguistic techniques (Flesch Reading Ease [FRE], Flesch–Kincaid, and Gunning Fog measures) to evaluate the readability of sustainability reports. The analysis was performed using a software application called “Readability Studio 2015.”FindingsWe found the reports to have a low level of readability. This means that the information provided in the disclosures are very difficult to decipher and understand by the targeted users. Considering the similar levels of report readability in companies across industries, we observe a pattern of isomorphism in the way companies have implemented the same format and language construct in disclosing their sustainability information. They might apply the myth that complex language attracts investors or impresses others.Research limitations/implicationsThe techniques to measure readability that we use might not capture the whole dimensions of readability and understandability, especially in the non-English language.Practical implicationsThe results from this study can be used as evaluation tools for companies and regulators in preparing more intelligible and readable sustainability reports, as mandated by POJK 51/2017.Social implicationsSustainability reports act as a medium of accountability for a company's sustainable production and operations. Their usefulness for investors and other users often depends on the readability of the information.Originality/valueThe readability of sustainability reports in the context of Indonesia as an emerging market has not been comprehensively investigated in previous research. This study is among the first of its kind to support the quality enhancement of the reports.",134680447,96,56,,thesis_draft
10.3390/app12115614,Analyzing and Visualizing Text Information in Corporate Sustainability Reports Using Natural Language Processing Methods,"Hyewon Kang, Jinho Kim",Applied Sciences,2022,"Sustainability is a major contemporary issue that affects everyone. Many companies now produce an annual sustainability report, mainly intended for their stakeholders and the public, enumerating their goals and degrees of achievement regarding sustainable development. Although sustainability reports are an important resource to understand a company’s sustainability strategies and practices, the difficulty of extracting key information from dozens or hundreds of pages with sustainability and business jargon has highlighted the need for metrics to effectively measure the content of such reports. Accordingly, many researchers have attempted to analyze the concepts and messages from sustainability reports using various natural language processing (NLP) methods. In this study, we propose a novel approach that overcomes the shortcomings of previous studies. Using the sentence similarity method and sentiment analysis, the study clearly shows thematic practices and trends, as well as a significant difference in the balance of positive and negative information in the reports across companies. The results of sentiment analysis prove that the new approach of this study is very useful. It confirms that companies actively use the sustainability report to improve their positive image when they experience a crisis. It confirms that companies actively use the sustainability report to improve their positive image when they experience a crisis. The inferences gained from this method will not only help companies produce better reports that can be utilized effectively, but also provide researchers with ideas for further research. In the concluding section, we summarize the implications of our approach and discuss limitations and future research areas.",153526550,38,44,,thesis_draft
10.3115/v1/s14-2004,SemEval-2014 Task 4: Aspect Based Sentiment Analysis,"Maria Pontiki, Dimitris Galanis, John Pavlopoulos, Haris Papageorgiou, Ion Androutsopoulos, S. Manandhar",International Workshop on Semantic Evaluation,2014,"Sentiment analysis is increasingly viewed as a vital task both from an academic and a commercial standpoint. The majority of current approaches, however, attempt to detect the overall polarity of a sentence, paragraph, or text span, irrespective of the entities mentioned (e.g., laptops) and their aspects (e.g., battery, screen). SemEval2014 Task 4 aimed to foster research in the field of aspect-based sentiment analysis, where the goal is to identify the aspects of given target entities and the sentiment expressed for each aspect. The task provided datasets containing manually annotated reviews of restaurants and laptops, as well as a common evaluation procedure. It attracted 163 submissions from 32 teams.",163655514,2356,25,,thesis_draft
10.1007/s10551-020-04452-1,Coercive Pressures and Anti-corruption Reporting: The Case of ASEAN Countries,"Tiyas Kurnia Sari, Fitra Roman Cahaya, Corina Joseph",Journal of Business Ethics,2021,"This paper aims to investigate the extent of anti-corruption reporting by ASEAN companies and examine whether coercive factors influence the level of disclosure. The authors adopt indicators from the Global Reporting Initiative version 4.0 to measure the extent of anti-corruption disclosures in 117 companies’ reports. Informed by a coercive isomorphism tenet drawn from the institutional theory, the authors propose that several institutional factors influence the extent of their voluntary disclosures. The findings reveal that a large degree of variability difference between the average levels of anti-corruption disclosure in Thailand (434 words) and the Philippines (149 words). The dependence on government tenders and foreign ownership are associated with the level of disclosure. Surprisingly, the United Nation Global Compact membership is not a significant determinant of anti-corruption reporting. This signifies that the membership in the international initiative does not correspond to individual company’s commitment to disclose anti-corruption information. In spite of significant efforts undertaken by global organizations to combat corruption, the level of anti-corruption disclosure is significantly different among the four countries under study. The disclosure of sensitive information such as the confirmed incidences of corruption cases requires careful consideration by the top management as it is subjected to legal implications and reputational risks. Thus, impression management can complement the coercive pressure in explaining the level of anti-corruption reporting. This study is among the first studies which explores the association between coercive factors and the level of anti-corruption disclosure in ASEAN region.",172014596,91,131,,thesis_draft
10.1108/jaar-05-2021-0136,Creating sustainability reports that matter: an investigation of factors behind the narratives,"H. Al‐Shaer, Khaldoon Albitar, K. Hussainey",Journal of Applied Accounting Research,2021,"PurposeThis paper aims to provide a novel approach to examine sustainability report narratives by considering key features of these narratives including, forward-looking content, risk content, tone and sustainability-specific content.Design/methodology/approachUsing a sample of UK firms' sustainability reports from 2014 to 2018, the authors capture the report content by compiling a collection of words using a computational linguistic technique that attempts to identify specific attributes of sustainability reports.FindingsThe findings show the main factors that determine the content of sustainability reports are: (1) external governance-related factors, including the voluntary adoption of sustainability reporting assurance, the choice of assurance provider, stakeholder engagement and ownership concentration; (2) internal governance factors, including board quality and the existence of a sustainability committee; and (3) reporting behaviour including the publication of standardised Global Reporting Initiative (GRI) sustainability reports and financial reporting quality.Research limitations/implicationsThe authors limit our sample to companies operated in the UK. Future research can explore the results in other institutional contexts such as North America or Asia–Pacific where the governance of sustainability reporting and other factors determining the content of sustainability reports could be different. Also, it would be interesting to interview managers and other stakeholders to obtain their opinions with regard to sustainability reporting and assurance practices and to understand their opinions regarding the GRI guidelines and its appropriateness. This study combines different research streams to advance our understanding of sustainability disclosures and factors that determine sustainability narratives.Practical implicationsCorporate managers need to strengthen their internal and external governance mechanisms to enhance the comprehensiveness and credibility of sustainability reports and are encouraged to engage stakeholders in the sustainability reporting process. Policymakers can mandate the assurance of sustainability reports and establish reporting formats and standard words to control the tone of sustainability reports. Finally, researchers, professionals as well as policymakers need to monitor sustainable development goals and targets to increase awareness, knowledge and practices that can be operationalised to ensure a global society that can afford sustainable living.Originality/valueTo the best of our knowledge, no study has yet examined sustainability report narratives by considering key features of these reports, including forward-looking content, risk content, tone and sustainability-specific content.",189403039,79,135,,thesis_draft
10.1016/j.jclepro.2014.01.089,The institutionalisation of mining company sustainability disclosures,"Charl de Villiers, Mary Low, Grant Samkin",Journal of Cleaner Production,2014,(missing abstract),222477235,147,69,,thesis_draft
