,,figure,title,path,thesis_chapter,rq,source table,source page,,,,,,,Concatenated,Benchmark,Assessment,Explanations
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.1,Full tone distribution,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_1_docx_full_tone_distribution.png,Chapter 4,RQ2,silver_tone_ground_truth.csv + pilot_ground_truth_annotations.csv,pages/3_0_Thesis_Action_Plan.py,"Gap: Gap 2 (conflation of tone and sentiment). The distribution showing ""none"" as the largest category empirically demonstrates that most ESG text is not tonally charged — which existing bag-of-words approaches would miss by forcing polarity onto neutral descriptive text.","RQ: RQ2 (how ESG should be categorised by aspect, sentiment, and tone). This is the foundational distribution that any tone categorisation scheme must account for.",Objective: Objective 2 (implement tone-aware ABSA). The distribution validates that the five-category tone schema captures the actual variance in the corpus rather than imposing an artificial equal-class assumption.,"Contribution: Contribution 3 (tone-aware taxonomy distinguishing commitment, action, outcome). The empirical breakdown of 1,347 action, 1,141 outcome, 1,020 commitment, and 1,929 none records is the first direct evidence that your three-tier taxonomy maps onto real distributional patterns in Indonesian ESG reports.","A.1 – Full Tone Distribution This matters because it establishes the baseline character of your corpus. The dominance of ""none"" tone (1,929 records) is not a failure of the pipeline — it is a substantive finding that most ESG text in Indonesian sustainability reports is descriptive rather than performative. Without this distribution, you cannot make any claim about tone prevalence or argue that action/commitment language is selectively deployed. It anchors every subsequent tone-related finding in RQ2.","A.1 – Full Tone Distribution The five tone categories break down as: none (1,929), action (1,347), outcome (1,141), commitment (1,020), unknown (7). The dominant ""none"" category suggests a large portion of ESG text is descriptive rather than performative — companies narrate context more than they make pledges or report results. Action slightly edges out outcome, implying companies lean toward forward-looking statements over backward-looking reporting.",A.1 – Full tone distribution,"Benchmark: In supervised ABSA literature, ""none/neutral"" class typically represents 30–40% of well-balanced corpora. In ESG-specific studies (e.g., Huang et al. 2022), commitment and action language collectively account for roughly 50–60% of substantive ESG sentences.",Assessment: Underperformed relative to expectation.,"""None"" at 58% (1,929/3,444) exceeds what a well-curated ESG corpus would show. This suggests either the pipeline is over-assigning the neutral category when uncertain, or the Indonesian sustainability reports in your sample are genuinely more descriptive than substantive. The distinction matters: if it is a pipeline calibration issue, your tone classifier needs threshold adjustment. If it is a genuine corpus property, it is a substantive finding about Indonesian ESG disclosure quality worth arguing in Chapter 4. The 7 ""unknown"" records suggest near-perfect schema coverage, which is a positive signal."
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.2,Full ESG by tone,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_2_docx_full_esg_by_tone.png,Chapter 4,RQ2,silver_tone_ground_truth.csv + pilot_ground_truth_annotations.csv,pages/3_0_Thesis_Action_Plan.py,Gap: Gap 1 (absence of sentence-level ESG evidence extraction) and Gap 2 (conflation of tone and sentiment). Cross-tabulating pillar against tone is precisely what document-level approaches cannot do — it requires sentence-level assignment of both pillar and tone simultaneously.,"RQ: RQ2 (categorisation by aspect/pillar, sentiment, and tone). This is the multi-dimensional annotation result the RQ explicitly targets.",Objective: Objective 2 (tone-aware ABSA for bilingual disclosures). The cross-tab demonstrates the annotation schema works across all three pillars simultaneously.,Contribution: Contribution 3 (tone-aware taxonomy) and Contribution 4 (ontology-based ABSA layer). The pillar-tone joint distribution is only possible if both the tone taxonomy and the ESG pillar ontology are functioning correctly and independently — making this figure evidence for both contributions simultaneously.,"A.2 – Full ESG by Tone This matters because it tests whether tone is uniformly distributed across pillars or whether certain pillars carry characteristic tones. If governance disclosures are disproportionately commitment-toned while environmental disclosures are action-toned, that tells you something about how companies strategically frame different dimensions of ESG. Without this cross-tabulation, RQ2's tone findings would be pillar-blind — you would not know whether ""action is the dominant non-none tone"" is driven by E, S, or G disclosures specifically.","A.2 – Full ESG by Tone Cross-tabulates ESG pillar (E, S, G) against tone. The ""G"" column is consistently the largest within each tone row, which may reflect that governance disclosures in Indonesian sustainability reports are more structured and tone-dense. The ""none"" tone is present across all pillars, reinforcing A.1's finding that neutral/descriptive text is pervasive regardless of pillar.",A.2 – Full ESG by tone,"Benchmark: Cross-pillar tone studies in English ESG corpora typically find Environmental pillar carrying the highest action/commitment density, with Governance being more outcome-oriented due to compliance reporting norms.","Assessment: Partially underperformed, partially expected.","The G pillar dominating across most tone rows is the reverse of what English-language benchmarks show. In Indonesian listed companies, governance disclosures being the most tone-dense likely reflects OJK compliance reporting obligations — companies must report governance structures in detail, generating more tonally labelled sentences. This is not a pipeline failure but a domain-specific finding. However, the near-absence of Social pillar tone-labelled records relative to Environmental and Governance suggests the pipeline may be under-extracting S-pillar aspects, which would be an extraction weakness worth flagging in RQ4."
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.3,Full aspect by tone heatmap,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_3_docx_full_aspect_by_tone_heatmap.png,Chapter 4,RQ2,silver_tone_ground_truth.csv + pilot_ground_truth_annotations.csv,pages/3_0_Thesis_Action_Plan.py,"Gap: Gap 2 (conflation of tone and sentiment) and Gap 5 (underdeveloped greenwashing detection). This heatmap directly addresses Gap 2 by showing tone is aspect-specific, not document-global. It addresses Gap 5 by identifying commitment-dominated aspects with near-zero outcome counts as greenwashing candidates.",RQ: RQ2 (fine-grained ABSA categorisation) and RQ4 (weaknesses and diagnostics in ABSA extraction). The aspect-tone signature patterns are both a positive result for RQ2 and a diagnostic baseline for RQ4.,Objective: Objective 2 (tone-aware ABSA) and Objective 4 (diagnostics for ABSA). The strong tone signatures validate the taxonomy; anomalous patterns flag extraction diagnostics.,Contribution: Contribution 3 (tone taxonomy) and Contribution 6 (explainability outputs). The heatmap is essentially a visualisation of lexical trigger patterns — aspects with strong tone signatures are the ones where your lexical trigger repository will be most informative and most useful to regulators.,"A.3 – Full Aspect by Tone Heatmap This is arguably the most analytically rich figure for RQ2. It matters because it reveals that tone is not randomly distributed across aspects — certain aspects have near-deterministic tone signatures. Komitmen keberlanjutan being 97% commitment-toned and kinerja esg being 91% outcome-toned means your model is capturing semantically coherent patterns, not noise. This also has a greenwashing implication: if anti-corruption aspects are commitment-heavy but outcome-light, that asymmetry is a red flag worth discussing in Chapter 6.","A.3 – Full Aspect by Tone Heatmap Shows tone distribution per aspect cluster. Notable patterns: komitmen keberlanjutan is overwhelmingly ""commitment"" (70/72 records), kinerja esg is overwhelmingly ""outcome"" (60/66), and praktik bisnis ramah lingkungan is mostly ""action"" (71/140). This reveals that certain aspects carry strong, predictable tone signatures — a key finding for RQ2 about tone-aspect alignment.",A.3 – Full aspect by tone heatmap,"Benchmark: In ABSA validation studies, aspect-tone association strength (measured by concentration ratio — the share of one tone within an aspect) should exceed 60% for the dominant tone to be considered a meaningful signal rather than random distribution.","Assessment: Outperformed for specific aspects, underperformed for others.","Komitmen keberlanjutan (97% commitment) and kinerja esg (91% outcome) far exceed the 60% concentration threshold — these are strong, reliable aspect-tone associations. Praktik bisnis ramah lingkungan at 51% action is above threshold but weaker. The concerning underperformers are aspects with near-equal tone splits — these suggest the pipeline is not discriminating well for those aspects, either because their language is genuinely ambiguous or because the lexical triggers are insufficient. Those mixed-signal aspects are the priority targets for Contribution 6's lexical trigger refinement."
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.4,Tone by ClimateBERT label,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_4_climatebert_label_by_tone.png,Chapter 4 / 5,RQ3,tone_climatebert_label_crosstab.csv,pages/6_2_Chapter_5_Discussion.py,"Gap: Gap 2 (conflation of tone and sentiment) and Gap 3 (LLM output instability). This figure provides the mechanistic explanation for why ClimateBERT and your pipeline disagree — they operationalise commitment and neutrality differently, which is precisely the conflation problem Gap 2 identifies.",RQ: RQ3 (do tone-based ABSA outputs differ meaningfully from ClimateBERT classifications). This figure is the core empirical answer to RQ3 — it shows not just that they differ but exactly where and why.,Objective: Objective 3 (compare tone outputs with ClimateBERT labels). The crosstab is the confusion matrix that Objective 3 explicitly calls for.,Contribution: Contribution 5 (ClimateBERT comparison framework). The cross-tabulation operationalises the validation architecture Contribution 5 proposes — it shows the comparison framework working in practice and producing interpretable divergence signals.,"A.4 – Tone by ClimateBERT Label This matters because it is the empirical foundation for your novel finding — that your tone taxonomy does not align well with ClimateBERT's label space. The crosstab makes visible exactly where the systems diverge: ""none"" tone mapping to climate-commitment label is the most striking mismatch, suggesting ClimateBERT conflates commitment-language with neutral descriptive language in ways your pipeline does not. Without this figure, the low κ against ClimateBERT (your key RQ3 finding) would be a number without a mechanism.","A.4 – Tone by ClimateBERT Label The crosstab reveals a mismatch between your tone taxonomy and ClimateBERT's label space. ""Commitment"" tone maps most strongly to ClimateBERT's climate-commitment label (91 records), which is the cleanest alignment. However, ""action"" tone spreads across climate-d (23) and other (7) rather than clustering neatly — and ""none"" tone maps mostly to climate-commitment (22), which is semantically odd. This is the empirical basis for your low agreement finding against ClimateBERT, feeding directly into RQ3.",A.4 – Tone by ClimateBERT label,"Benchmark: For two independently developed classification systems applied to the same corpus, Cohen's κ above 0.80 indicates strong alignment; 0.60–0.80 is moderate; below 0.60 indicates the systems are measuring different constructs.",Assessment: Underperformed relative to alignment expectation — but this is the intended finding.,"The ""none"" tone mapping to climate-commitment (22 records) and the ""action"" tone spreading across multiple ClimateBERT labels rather than clustering are misalignment signals. However, this underperformance is your thesis's novel contribution for RQ3 — you are not claiming the systems agree, you are demonstrating they diverge in theoretically interpretable ways. The underperformance becomes an outperformance in argumentation: your pipeline is capturing a dimension (neutral-versus-committed language) that ClimateBERT conflates, which is precisely Gap 2's claim."
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.5,Top-scoring ClimateBERT records,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_5_climatebert_remote_top_scores.png,Chapter 5,RQ3,climatebert_remote_flat.csv,pages/6_2_Chapter_5_Discussion.py,Gap: Gap 3 (LLM output instability) and Gap 4 (neglect of OCR quality). High-confidence ClimateBERT predictions clustering on a small record subset suggests the model is sensitive to text quality — which is the OCR propagation problem Gap 4 identifies.,RQ: RQ3 (relationship between tone and ClimateBERT classifications) and RQ6 (stability across model configurations). The confidence clustering is a stability finding — ClimateBERT is not uniformly reliable across the corpus.,Objective: Objective 3 (ClimateBERT comparison) and Objective 6 (cross-model stability). The top-score distribution informs when ClimateBERT outputs can be trusted as reference labels versus when they should be treated with scepticism.,"Contribution: Contribution 5 (ClimateBERT comparison framework). The guidance metrics Contribution 5 promises — ""when to trust internal ABSA labels versus external validator signals"" — are directly informed by this figure, since ClimateBERT is trustworthy only for high-scoring records.","A.5 – Top-Scoring ClimateBERT Records This matters because it exposes the conditions under which ClimateBERT works well versus poorly on your corpus. High-confidence predictions clustering on a narrow record subset tells you ClimateBERT is not failing uniformly — it performs well on a small slice of cleanly structured, likely English-dominant text, and poorly on the rest. This distinction is important for your RQ3 argument: the disagreement is not random noise but a systematic consequence of language and text quality conditions that ClimateBERT was not designed for.","A.5 – Top-Scoring ClimateBERT Records Shows the remote ClimateBERT run's highest-confidence predictions. The backing table is mostly truncated, but the graph reveals that top scores cluster around very few label types. This means the model is highly confident on a narrow subset of records — likely the cleaner English-language passages — while the bulk of bilingual or Indonesian-dominant text falls into low-confidence bins. Relevant to RQ3's discussion of language asymmetry as a confound.",A.5 – Top-scoring ClimateBERT records,"Benchmark: A well-calibrated classifier applied to its target domain should produce a roughly uniform confidence distribution across records, not a heavily right-skewed one where most records score low and a few score very high.",Assessment: Underperformed relative to calibration benchmark.,"The clustering of high scores on a narrow record subset indicates ClimateBERT is not calibrated for your corpus. In its original English climate corpus, confidence scores would distribute more evenly. The right-skewed pattern on your data means ClimateBERT is only ""recognising"" a small fraction of your records as genuinely matching its training distribution — the rest are effectively out-of-distribution. This is an honest, useful finding: it quantifies exactly how far Indonesian sustainability report language is from ClimateBERT's training domain, which contextualises the κ=0.645 result in A.15."
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.6,Streamlit overview,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_6_01_overview.png,Chapter 6,RQ5,DOCX evidence summary,pages/6_4_ch4-6.py,Gap: Gap 3 (LLM output instability) and Gap 5 (underdeveloped greenwashing detection). The dashboard directly addresses instability by making all pipeline metrics frozen and auditable. It addresses Gap 5 by making the greenwashing index visible as a case-study signal with known limitations.,RQ: RQ5 (reproducibility and auditability documentation). This figure is the primary visual evidence that RQ5 has been addressed.,Objective: Objective 5 (create reproducible visualisation and documentation artifacts). The Streamlit dashboard is the concrete deliverable Objective 5 describes.,"Contribution: Contribution 5 (ClimateBERT comparison framework) and indirectly all contributions. The dashboard makes every other contribution auditable and reproducible — without it, the other contributions exist only as code outputs rather than as replicable scientific findings.","A.6 – Streamlit Overview This matters because it is your reproducibility evidence for RQ5. Academic claims about LLM-based pipelines are often impossible to verify because the analysis environment is ephemeral. The Streamlit dashboard with frozen snapshots, documented metrics, and traceable source files demonstrates that your pipeline is not a one-time run — it is a reproducible analytical instrument. For a master's thesis making empirical claims about 332 records across 6 companies, this level of infrastructure transparency directly addresses one of the most common methodological critiques of LLM-based research.","A.6 – Streamlit Overview A dashboard summary confirming the study's scope metrics: 332 structured records, 271 valid records, 6 documents, 6 prompt templates, 83.7% ClimateBERT/proxy agreement, κ=0.645. The ""main thesis read"" text block in the graph flags known limitations directly: prompt instability (~20% missing tone), few-shot recall gaps, and the greenwashing index being a case-study signal only. This figure serves as Chapter 6's evidence anchor for RQ5 (reproducibility).",A.6 – Streamlit overview,"Benchmark: Reproducibility frameworks in NLP research are typically evaluated against three standards: (1) all metrics computable from provided data, (2) frozen snapshots preventing result drift, (3) independent replication achievable within reasonable effort.","Assessment: Outperformed on infrastructure, underperformed on completeness.","The frozen snapshot mechanism, traceable source files, and documented metrics exceed what most master's thesis ABSA studies provide — most simply report numbers in tables without auditable pipelines. However, the dashboard itself flags its own incompleteness (OCR pages 0/100, greenwashing index as case-study only), meaning it meets standards 1 and 2 but standard 3 is partially unmet because some inputs (completed human annotations, OCR quality metrics) are not yet available for replication."
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.7,Per-RQ evidence,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_7_02_per_rq_evidence.png,Chapter 4 / 6,RQ1-RQ6,chapter-to-RQ mapping,pages/6_4_ch4-6.py,Gap: Gap 4 (OCR quality neglect). The explicit flagging of 0/100 OCR pages sampled for RQ1 directly acknowledges Gap 4 as an unresolved gap in the current thesis — you built the pipeline but did not complete the OCR quality evaluation Objective 1 specifies.,"RQ: All six RQs. This figure maps evidence to each RQ simultaneously, making it the most comprehensive single view of your thesis's evidentiary completeness.","Objective: Objective 1 through Objective 6. It serves as an audit of whether each objective has been met, partly met, or deferred.","Contribution: All four contributions. The per-RQ evidence matrix implicitly validates which contributions are fully evidenced versus which require future work, directly supporting your Chapter 6 contribution claims.","A.7 – Per-RQ Evidence This matters because it makes your thesis's evidentiary structure legible and auditable. Rather than leaving the examiner to infer which data supports which claim, this figure explicitly maps evidence to research questions. The OCR gap for RQ1 (0/100 pages sampled) is particularly important to surface here — it signals an honest acknowledgment that PDF-to-structured transformation quality has not been formally measured, which is a limitation that needs to be stated clearly in Chapter 6 rather than buried.",A.7 – Per-RQ Evidence Maps each RQ to its evidence base and status. Key takeaway: RQ1 (PDF-to-structured transformation) has 332 records and 6 documents but 0 OCR samples — a gap flagged as still needing manual reference snippets. RQ2–RQ4 have strong evidence; RQ5–RQ6 rely partly on the Streamlit reproducibility infrastructure itself. This figure is useful for your Chapter 6 limitations discussion.,A.7 – Per-RQ evidence,"Benchmark: A well-scoped master's thesis should have primary evidence for every research question before submission, with any gaps explicitly bounded and justified.",Assessment: Underperformed on RQ1 and partially on RQ6.,"RQ1's OCR quality gap (0/100 pages sampled) is the clearest underperformance — the pipeline was built but the evaluation component Objective 1 explicitly requires was not completed. RQ6's greenwashing signal being case-study only is also below the ""stability benchmark suite"" Objective 6 promises. RQ2–RQ5 are adequately evidenced. The honest mapping in this figure is itself a form of outperformance relative to typical thesis documentation — explicitly flagging gaps rather than quietly omitting them demonstrates methodological integrity."
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.8,Benchmark plan,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_8_04_benchmarks.png,Chapter 4 / 6,RQ6,benchmark checklist,pages/6_4_ch4-6.py,"Gap: Gap 1 (sentence-level evaluation protocols), Gap 3 (prompt instability), Gap 4 (OCR quality), and Gap 5 (greenwashing benchmark datasets). Each of the five benchmarks in this figure corresponds directly to a gap — OCR quality addresses Gap 4, human annotation agreement addresses Gap 1, repeated LLM runs addresses Gap 3, ClimateBERT baseline addresses Gap 2/5, and ontology extension addresses Gap 1/5.",RQ: RQ6 (stability and ensemble strategies). The benchmark plan defines what would need to be completed to fully answer RQ6.,Objective: Objective 6 (cross-model and cross-prompt stability). The stability benchmark suite Objective 6 promises is exactly what this figure outlines as needed.,"Contribution: All contributions implicitly — this figure defines the evaluation standards each contribution would need to meet for full scientific validation, making it the honesty anchor for your contribution claims.","A.8 – Benchmark Plan This matters because it defines the boundary between what your thesis claims and what it does not. Every one of the five benchmarks listed represents a claim you are explicitly not making: you are not claiming CER/WER-validated OCR quality, not claiming inter-rater reliability from dual human annotation, not claiming statistically robust LLM stability, and not claiming ontology completeness. In a thesis context, knowing what you are not claiming is as important as knowing what you are — this figure protects you from overreach and gives examiners a clear picture of scope.","A.8 – Benchmark Plan Lists five benchmarks and why they're needed: OCR quality (CER/WER unmeasured), human annotation agreement (single-annotator reliability gap), repeated LLM runs (stability confidence intervals), ClimateBERT baseline (majority/human comparison), and ontology extension (unmapped Indonesian aspects). Together these define the ceiling of what the thesis can currently claim — important framing for RQ6 scope-of-contribution.",A.8 – Benchmark plan,"Benchmark: The five benchmarks listed correspond to standard validation requirements in computational linguistics: OCR quality (CER <5% is acceptable for downstream NLP), inter-rater reliability (κ >0.70 is acceptable for annotation tasks), model stability (coefficient of variation <10% across runs), external model agreement (κ >0.60 against reference system), and ontology coverage (>80% of domain terms mapped).",Assessment: All five benchmarks are currently unmet or partially met.,OCR: CER unmeasured (cannot assess). Inter-rater: κ=0.788 exists as proxy but not from dual human raters (partially met). Model stability: run counts too uneven for robust confidence intervals (partially met for high-run models only). ClimateBERT agreement: κ=0.645 is below the 0.70 acceptable threshold (underperformed). Ontology coverage: 52/52 mapped but shallowly — most routes to General→Misc (underperformed on depth). This figure is valuable precisely because it makes the benchmark gaps explicit rather than allowing them to surface as examiner critiques.
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.9,Evidence matrix,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_9_07_evidence_matrix.png,Chapter 6,RQ5,graph manifest,pages/6_4_ch4-6.py,"Gap: Gap 5 (underdeveloped greenwashing detection methods). The ""case-study only"" status of RQ6 directly acknowledges that the greenwashing detection framework is not yet a rigorous, formally validated method — which is precisely what Gap 5 says is missing from existing literature.","RQ: RQ5 (reproducibility and auditability). The evidence matrix is itself a reproducibility artifact — it documents what was done, to what degree, with what evidence.",Objective: Objective 5 (reproducible visualisation and documentation). The matrix is one of the standardised documentation artifacts Objective 5 requires.,"Contribution: Contributions 1–6 collectively. The ""implemented vs. partly validated vs. case-study only"" distinctions map directly onto what each contribution claims versus what it has demonstrated — making this the most important figure for calibrating the strength of your contribution statements in Chapter 6.","A.9 – Evidence Matrix This matters because it is the honest audit of your thesis's contribution claims. The matrix distinguishes between ""implemented,"" ""partly validated,"" and ""case-study only"" statuses across RQs and contributions. This kind of explicit self-assessment is methodologically mature — it demonstrates you understand the difference between building a system and validating it scientifically. For Chapter 6, this figure is the backbone of your limitations and future work sections, and it pre-empts examiner questions about overstated contributions.","A.9 – Evidence Matrix Summarises the status of all RQs and contributions against their evidence. The matrix confirms: RQ1–RQ4 are ""implemented"" or ""partly validated""; RQ5 (reproducibility) is ""implemented"" via the Streamlit app; RQ6 (greenwashing signal) is ""case-study only."" Contributions like ontology coverage and the patch viewer are ""implemented."" This is your thesis's honest self-assessment table for Chapter 6.",A.9 – Evidence matrix,"Benchmark: For a master's thesis making six research question claims, the standard expectation is that core findings for each RQ are empirically validated (not merely implemented) before submission.","Assessment: Mixed — outperformed on implementation, underperformed on validation depth.","RQ1–RQ4 are implemented and partially validated; RQ5 is implemented with reproducibility evidence; RQ6 is explicitly case-study only. By implementation standards this is strong. By validation standards (precision/recall on gold standard, formal inter-rater agreement, statistical stability tests) most RQs fall short of what the research objectives specify. This is not unusual for a master's thesis that includes system-building as a contribution, but it needs to be positioned carefully in Chapter 6 to distinguish ""we built and demonstrated"" from ""we fully validated."""
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.10,Model parse success benchmark,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_10_docx_model_parse_success.png,Chapter 4 / 6,RQ6,model_stability_summary.csv,pages/6_3_Chapter_6_Conclusion.py,Gap: Gap 3 (LLM output instability). Parse success rate is the most fundamental stability metric — a model that cannot reliably produce structured JSON is unstable by definition regardless of label quality.,RQ: RQ6 (stability across cross-model and cross-prompt configurations). Parse success is the prerequisite stability metric before any label-level stability analysis is meaningful.,Objective: Objective 6 (cross-model stability benchmark). The model stability summary is one of the defined datasets in the stability benchmark suite Objective 6 requires.,Contribution: Contribution 2 (page-aware prompt-driven extraction framework). The template-wise ablation Contribution 2 promises needs parse-reliable models as its foundation — this figure validates which models qualify as stable enough for that evaluation.,"A.10 – Model Parse Success Benchmark This matters for a reason that is often overlooked in LLM research: structured output reliability is a prerequisite for any downstream analysis. If your model returns malformed JSON 43% of the time (as minimax does), every metric computed from those outputs is contaminated. This figure justifies your model selection decisions — using trinity-large-preview and gpt-oss-120b as primary models is not arbitrary, it is grounded in demonstrated parse reliability. Without this benchmark, your pipeline's output quality would rest on an untested assumption.","A.10 – Model Parse Success Benchmark Two models achieved perfect JSON parse rate (1.0): arcee-ai/trinity-large-preview:free (90 runs) and openai/gpt-oss-120b:free (20 runs). minimax/minimax-m2.5:free dropped to 0.57 over 776 runs — the highest run count but worst reliability, explaining why it was deprioritised. qwen3.5:0.8b failed entirely (0.0, 2 runs). The insight for RQ6: parse success is model-dependent and needs to be controlled for in any stability claim.",A.10 – Model parse success benchmark,"Benchmark: For production-quality structured output from LLMs, a JSON parse success rate of ≥0.95 is the standard threshold for reliable downstream use. Below 0.90 is considered unreliable for research pipelines.","Assessment: Outperformed for two models, severely underperformed for others.","arcee-ai/trinity-large-preview:free (1.0, 90 runs) and openai/gpt-oss-120b:free (1.0, 20 runs) exceed the 0.95 threshold — these are production-reliable. minimax/minimax-m2.5:free at 0.57 is severely below threshold despite 776 runs — the highest usage model is also the least reliable, which is a calibration concern. qwen3.5:0.8b at 0.0 is completely unusable. The practical implication: any analysis that included minimax outputs without filtering for parse success is contaminated — your results tables should specify which records came from parse-verified runs."
