record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r000_000,yes,0.992335,True,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r000_001,yes,0.980056,True,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r000_002,no,0.977539,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r006_000,no,0.996324,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r006_001,no,0.996065,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r006_002,no,0.996119,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r006_003,no,0.996476,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r006_004,no,0.998097,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r006_005,no,0.997601,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r006_006,no,0.997913,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r006_007,no,0.997977,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r006_008,no,0.996896,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r006_009,no,0.99825,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r006_010,no,0.997715,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r006_011,no,0.998579,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_000,no,0.995221,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_001,no,0.992304,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_002,no,0.990986,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_003,no,0.996335,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_004,no,0.997255,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_005,no,0.996539,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_006,no,0.998037,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_007,no,0.997609,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_008,no,0.995833,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_009,no,0.995323,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_010,no,0.996945,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_011,no,0.996471,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_012,no,0.995452,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_013,no,0.996302,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_014,no,0.995143,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_015,no,0.996651,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_016,no,0.995966,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_017,no,0.995697,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_018,no,0.995876,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_019,no,0.998398,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r007_020,no,0.995571,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r012_000,no,0.997998,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r012_001,no,0.997996,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r012_002,no,0.99694,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r012_003,no,0.985775,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r012_004,no,0.994712,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r012_005,no,0.996853,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r012_006,no,0.992862,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r012_007,no,0.994011,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r012_008,no,0.997894,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
r012_009,no,0.997714,False,environmental-claims,Local model,climatebert_multi_20260526T074105Z_a56138
