record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r000_000,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r000_001,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r000_002,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r006_000,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r006_001,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r006_002,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r006_003,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r006_004,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r006_005,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r006_006,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r006_007,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r006_008,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r006_009,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r006_010,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r006_011,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_000,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_001,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_002,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_003,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_004,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_005,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_006,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_007,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_008,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_009,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_010,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_011,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_012,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_013,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_014,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_015,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_016,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_017,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_018,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_019,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r007_020,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
r012_000,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260526T074406Z_b1e2a6
