record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
llm_bf98f267a1b1,no,0.998328,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_c8e68a5aed8b,no,0.99834,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_ecb90a4666fa,no,0.998758,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_279cc78717c5,no,0.998444,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_c67f101eee07,no,0.997905,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_b671d7c3ff82,no,0.998161,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_a2fdfb73e0c3,no,0.998089,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_85467362f392,no,0.997415,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_de031c963b64,no,0.998282,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_5558d0350532,no,0.998225,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_e7cf2befa476,no,0.998086,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_d59fceb08579,no,0.99765,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_bb209b6a26ef,no,0.998163,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_d9d1a5f853b6,no,0.998011,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_c76cc4b2a507,no,0.99751,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_c64ff19abba1,no,0.998179,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_59f4626eec3c,no,0.998292,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_8f233d54a93b,no,0.994442,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_9efcc79c9b5a,no,0.997892,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_6724f4ab5ed5,no,0.998123,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_bfdf2fe250eb,no,0.998404,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_463bcf87efa7,no,0.997775,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_962f9505e8e2,no,0.998138,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_ac8797623a82,no,0.997939,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_1dfe0acbdfde,no,0.996109,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_03c50157b9d5,no,0.995414,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_d029b7648080,no,0.996289,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_37f8759a7cb6,no,0.996959,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_01f2466d2544,no,0.997589,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_c6c0efc5eb5b,no,0.996893,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_6407c35e53f4,no,0.997046,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_e7d7fec0d28a,no,0.997152,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_bc993c873a0e,no,0.99732,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_f364cedf8943,no,0.99784,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_265659079937,no,0.996829,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_f31f68feb281,no,0.998328,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_64ff69be2b13,no,0.99834,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_d6535983ed56,no,0.998758,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_d210b1698ac0,no,0.997934,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_786bbaac0000,no,0.997905,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_bb1e156096d1,no,0.998161,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_ec6ce43c652d,no,0.998089,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_375ac6d38bbc,no,0.997415,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_6197d4ac1c15,no,0.996963,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
llm_69af58905ba3,no,0.996982,False,environmental-claims,Local model,climatebert_multi_20260526T094231Z_d7a527
