record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r000_000,none,0.999353,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r000_001,none,0.998994,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r000_002,none,0.999637,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r006_000,reduction,0.616814,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r006_001,reduction,0.44761,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r006_002,none,0.835949,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r006_003,reduction,0.416661,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r006_004,reduction,0.937515,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r006_005,reduction,0.716404,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r006_006,reduction,0.671331,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r006_007,reduction,0.62137,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r006_008,reduction,0.723535,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r006_009,reduction,0.914543,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r006_010,reduction,0.977522,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r006_011,none,0.642064,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_000,none,0.989078,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_001,none,0.993161,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_002,none,0.976239,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_003,none,0.976485,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_004,none,0.963843,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_005,none,0.991533,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_006,none,0.994127,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_007,none,0.990386,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_008,none,0.506442,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_009,none,0.935932,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_010,reduction,0.482324,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_011,none,0.531936,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_012,none,0.688642,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_013,none,0.639976,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_014,none,0.518065,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_015,reduction,0.423518,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_016,reduction,0.414975,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_017,none,0.418182,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_018,none,0.707106,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_019,none,0.943625,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r007_020,none,0.611533,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r012_000,reduction,0.713903,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r012_001,none,0.525755,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r012_002,net-zero,0.671159,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r012_003,net-zero,0.997891,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r012_004,net-zero,0.997231,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r012_005,none,0.545551,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r012_006,none,0.594524,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r012_007,none,0.582488,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r012_008,none,0.937559,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r012_009,reduction,0.712903,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r012_010,reduction,0.841937,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_000,net-zero,0.975803,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_001,reduction,0.93103,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_002,none,0.999505,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_003,none,0.999047,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_004,none,0.980843,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_005,reduction,0.988154,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_006,none,0.999146,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_007,none,0.997939,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_008,net-zero,0.975803,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_009,reduction,0.93103,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_010,none,0.999505,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_011,none,0.999047,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_012,none,0.980843,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_013,reduction,0.988154,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_014,none,0.999146,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_015,none,0.997939,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_016,net-zero,0.975803,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_017,reduction,0.93103,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_018,none,0.999505,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_019,none,0.999047,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
r014_020,none,0.980843,False,netzero-reduction,Local model,climatebert_multi_20260526T094423Z_d0fb71
