record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
llm_3fef6746420d,no,0.997303,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_6f77d6c9a458,no,0.99732,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_a7168ce39669,no,0.997373,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_cff4de90c2cc,no,0.997608,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_38c825c0ddfe,no,0.99781,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_9294c2777cef,no,0.998703,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_5a1ca600588d,no,0.997204,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_24cc9a4a58cc,no,0.998498,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_62b6141274ee,no,0.998199,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_b555c493bad5,no,0.994225,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_4b9af3ae1d8c,no,0.997495,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_315e561984d4,no,0.997365,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_502b9bd5bc1f,no,0.996093,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_65d09bfe4e6a,no,0.997791,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_bea7d9c659eb,no,0.995147,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_84e48d882dc9,no,0.994802,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_a816dfdab0ca,no,0.993304,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_fde2d4916e0f,no,0.99658,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_d37556769868,no,0.996496,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_128035d1b60d,no,0.998398,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_b6081808dce6,no,0.998429,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_39549d22a8d3,no,0.998211,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_efe0ea31e7d3,no,0.997975,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_ee7a4ef9d560,no,0.995083,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_56cf575c1cf9,no,0.997826,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_385ef2ada002,no,0.996992,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_d65ec5e2811a,no,0.99702,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_9de81a673f8a,no,0.998328,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_28eca41a3bfc,no,0.99834,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_c947715db5d4,no,0.998758,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_b3f4fa97cf3c,no,0.998455,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_bf363aac980c,no,0.997905,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_5b3d060e47ef,no,0.998161,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_d7b8d6facdf5,no,0.998089,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_938fc19b0b15,no,0.997415,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_10303eb643e1,no,0.997774,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_090178e744ea,no,0.997038,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_849ffec0cb33,no,0.996892,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_88c18c0a2d46,no,0.995413,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_d74e5ef67e83,no,0.995147,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_fea4935bb5b1,no,0.997787,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_ae0f878d8213,no,0.997969,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_4ea400969381,no,0.998282,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_b4092f9f8bf0,no,0.99765,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_4569103429ab,no,0.996548,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_36569b45bf84,no,0.997229,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_8a72138c5eef,no,0.997474,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_25a2a239da2a,no,0.997811,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_96939e519b2d,no,0.996279,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_149b1dab8960,no,0.996964,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_4c77c97af2b3,no,0.997152,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
llm_234b4c88579b,no,0.99732,False,environmental-claims,Local model,climatebert_multi_20260526T094450Z_df2db8
