record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r000_000,spec,0.517097,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r000_001,non,0.687756,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r000_002,non,0.922618,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r006_000,spec,0.679961,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r006_001,spec,0.640278,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r006_002,non,0.502742,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r006_003,spec,0.65254,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r006_004,spec,0.791362,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r006_005,spec,0.765234,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r006_006,spec,0.711286,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r006_007,spec,0.738315,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r006_008,spec,0.665275,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r006_009,spec,0.766483,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r006_010,spec,0.729527,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r006_011,spec,0.761702,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_000,non,0.522087,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_001,spec,0.502143,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_002,spec,0.539898,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_003,non,0.538468,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_004,spec,0.513963,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_005,non,0.50845,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_006,non,0.53888,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_007,spec,0.547549,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_008,spec,0.635295,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_009,spec,0.575651,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_010,spec,0.650138,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_011,spec,0.557633,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_012,spec,0.64942,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_013,spec,0.600092,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_014,spec,0.581261,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_015,spec,0.628026,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_016,spec,0.657567,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_017,spec,0.657478,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_018,spec,0.553762,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_019,spec,0.565487,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r007_020,spec,0.600758,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r012_000,non,0.552963,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r012_001,spec,0.628505,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r012_002,spec,0.731568,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r012_003,spec,0.802751,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r012_004,spec,0.767073,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r012_005,spec,0.640295,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r012_006,spec,0.612665,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r012_007,spec,0.595891,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r012_008,spec,0.533571,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r012_009,spec,0.610351,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r012_010,spec,0.67273,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_000,spec,0.910343,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_001,spec,0.792413,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_002,spec,0.604111,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_003,spec,0.742765,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_004,spec,0.92164,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_005,spec,0.871102,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_006,non,0.860893,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_007,non,0.652158,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_008,spec,0.910343,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_009,spec,0.792413,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_010,spec,0.604111,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_011,spec,0.742765,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_012,spec,0.92164,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_013,spec,0.871102,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_014,non,0.860893,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_015,non,0.652158,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_016,spec,0.910343,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_017,spec,0.792413,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_018,spec,0.604111,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_019,spec,0.742765,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_020,spec,0.92164,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_021,spec,0.871102,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_022,non,0.860893,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r014_023,non,0.652158,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r025_000,non,0.552963,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r025_001,spec,0.585734,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r025_002,spec,0.542265,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r025_003,spec,0.731568,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r025_004,spec,0.763792,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r025_005,spec,0.687941,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r025_006,spec,0.626677,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r025_007,spec,0.624513,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r025_008,spec,0.561791,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
r025_009,spec,0.598993,False,distilroberta-base-climate-specificity,Local model,climatebert_multi_20260526T094538Z_d0ed7e
