record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r000_000,environmental,0.972529,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r000_001,environmental,0.981427,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r000_002,none,0.995449,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r006_000,none,0.996607,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r006_001,none,0.998121,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r006_002,none,0.99827,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r006_003,none,0.674997,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r006_004,none,0.998628,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r006_005,none,0.998057,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r006_006,none,0.997701,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r006_007,none,0.998358,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r006_008,none,0.998142,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r006_009,none,0.998152,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r006_010,none,0.998338,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r006_011,none,0.984812,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_000,none,0.995548,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_001,none,0.98423,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_002,none,0.993181,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_003,none,0.995542,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_004,none,0.995818,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_005,none,0.995894,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_006,none,0.997001,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_007,none,0.998441,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_008,none,0.998285,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_009,none,0.998064,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_010,none,0.998271,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_011,none,0.99818,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_012,none,0.998526,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_013,none,0.997745,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_014,none,0.997708,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_015,none,0.998315,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_016,none,0.998348,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_017,none,0.99833,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_018,none,0.997801,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_019,none,0.9987,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r007_020,none,0.998184,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r012_000,environmental,0.900197,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r012_001,environmental,0.757376,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r012_002,environmental,0.982066,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
r012_003,environmental,0.964531,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260526T094956Z_f198d5
