record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r000_000,LABEL_1,0.589466,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r000_001,LABEL_1,0.582055,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r000_002,LABEL_1,0.600621,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r006_000,LABEL_1,0.599831,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r006_001,LABEL_1,0.599031,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r006_002,LABEL_1,0.603838,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r006_003,LABEL_1,0.603413,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r006_004,LABEL_1,0.601918,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r006_005,LABEL_1,0.603881,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r006_006,LABEL_1,0.60213,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r006_007,LABEL_1,0.60577,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r006_008,LABEL_1,0.603995,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r006_009,LABEL_1,0.588769,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r006_010,LABEL_1,0.596939,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r006_011,LABEL_1,0.601315,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_000,LABEL_1,0.595707,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_001,LABEL_1,0.596792,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_002,LABEL_1,0.601981,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_003,LABEL_1,0.596629,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_004,LABEL_1,0.602437,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_005,LABEL_1,0.596587,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_006,LABEL_1,0.594024,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_007,LABEL_1,0.603072,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_008,LABEL_1,0.599926,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_009,LABEL_1,0.600775,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_010,LABEL_1,0.601628,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_011,LABEL_1,0.601292,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_012,LABEL_1,0.601524,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_013,LABEL_1,0.603309,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_014,LABEL_1,0.605426,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_015,LABEL_1,0.607184,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_016,LABEL_1,0.603654,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_017,LABEL_1,0.60275,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_018,LABEL_1,0.603715,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_019,LABEL_1,0.599342,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r007_020,LABEL_1,0.604926,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r012_000,LABEL_1,0.597141,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r012_001,LABEL_1,0.604037,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r012_002,LABEL_1,0.596875,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r012_003,LABEL_1,0.59197,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r012_004,LABEL_1,0.593275,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r012_005,LABEL_1,0.603307,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r012_006,LABEL_1,0.604333,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r012_007,LABEL_1,0.603601,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r012_008,LABEL_1,0.602353,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r012_009,LABEL_1,0.601227,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r012_010,LABEL_1,0.60174,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r014_000,LABEL_1,0.598446,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r014_001,LABEL_1,0.582834,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r014_002,LABEL_1,0.6035,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r014_003,LABEL_1,0.597174,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r014_004,LABEL_1,0.586215,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r014_005,LABEL_1,0.590213,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r014_006,LABEL_1,0.592858,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r014_007,LABEL_1,0.59649,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r014_008,LABEL_1,0.598446,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r014_009,LABEL_1,0.582834,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r014_010,LABEL_1,0.6035,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r014_011,LABEL_1,0.597174,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r014_012,LABEL_1,0.586215,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r014_013,LABEL_1,0.590213,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
r014_014,LABEL_1,0.592858,True,EnvironmentalBERT-base,Local model,climatebert_multi_20260526T095156Z_d5365b
