record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r000_000,LABEL_0,0.534048,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r000_001,LABEL_0,0.537187,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r000_002,LABEL_0,0.544134,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r006_000,LABEL_0,0.538633,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r006_001,LABEL_0,0.543136,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r006_002,LABEL_0,0.547374,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r006_003,LABEL_0,0.545634,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r006_004,LABEL_0,0.53321,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r006_005,LABEL_0,0.539268,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r006_006,LABEL_0,0.539889,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r006_007,LABEL_0,0.535103,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r006_008,LABEL_0,0.542142,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r006_009,LABEL_0,0.527002,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r006_010,LABEL_0,0.547482,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r006_011,LABEL_0,0.53908,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_000,LABEL_0,0.539521,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_001,LABEL_0,0.542756,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_002,LABEL_0,0.543947,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_003,LABEL_0,0.529476,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_004,LABEL_0,0.545016,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_005,LABEL_0,0.532875,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_006,LABEL_0,0.536805,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_007,LABEL_0,0.543221,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_008,LABEL_0,0.543452,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_009,LABEL_0,0.543786,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_010,LABEL_0,0.548911,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_011,LABEL_0,0.548124,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_012,LABEL_0,0.549664,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_013,LABEL_0,0.549233,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_014,LABEL_0,0.544839,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_015,LABEL_0,0.546666,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_016,LABEL_0,0.54424,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_017,LABEL_0,0.547847,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_018,LABEL_0,0.551461,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_019,LABEL_0,0.544469,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r007_020,LABEL_0,0.548435,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r012_000,LABEL_0,0.520251,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r012_001,LABEL_0,0.535251,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r012_002,LABEL_0,0.541587,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r012_003,LABEL_0,0.542296,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r012_004,LABEL_0,0.536795,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r012_005,LABEL_0,0.540899,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r012_006,LABEL_0,0.54691,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r012_007,LABEL_0,0.541904,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r012_008,LABEL_0,0.550373,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r012_009,LABEL_0,0.544128,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r012_010,LABEL_0,0.544353,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r014_000,LABEL_0,0.546811,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r014_001,LABEL_0,0.516504,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r014_002,LABEL_0,0.514932,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r014_003,LABEL_0,0.541459,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r014_004,LABEL_0,0.543168,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r014_005,LABEL_0,0.538198,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r014_006,LABEL_0,0.529757,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r014_007,LABEL_0,0.543093,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r014_008,LABEL_0,0.546811,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r014_009,LABEL_0,0.516504,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
r014_010,LABEL_0,0.514932,False,GovRoBERTa-base,Local model,climatebert_multi_20260526T095236Z_39568c
