record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r000_000,none,0.997707,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r000_001,governance,0.921379,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r000_002,none,0.995867,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r006_000,none,0.999069,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r006_001,none,0.999041,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r006_002,none,0.998926,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r006_003,none,0.998976,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r006_004,none,0.999242,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r006_005,none,0.999259,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r006_006,none,0.999131,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r006_007,none,0.99921,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r006_008,none,0.999056,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r006_009,none,0.999189,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r006_010,none,0.999222,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r006_011,none,0.999255,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_000,none,0.999124,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_001,none,0.999056,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_002,none,0.999178,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_003,none,0.999098,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_004,none,0.999196,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_005,none,0.999021,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_006,none,0.998711,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_007,none,0.999226,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_008,none,0.99933,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_009,none,0.999088,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_010,none,0.999074,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_011,none,0.998987,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_012,none,0.999187,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_013,none,0.999067,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_014,none,0.998943,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_015,none,0.999152,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_016,none,0.999295,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_017,none,0.999225,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
r007_018,none,0.998452,False,GovRoBERTa-governance,Local model,climatebert_multi_20260526T095337Z_eaccca
