record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r000_000,LABEL_1,0.529111,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r000_001,LABEL_1,0.527676,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r000_002,LABEL_1,0.534522,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r006_000,LABEL_1,0.523207,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r006_001,LABEL_1,0.523367,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r006_002,LABEL_1,0.51766,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r006_003,LABEL_1,0.51933,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r006_004,LABEL_1,0.521564,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r006_005,LABEL_1,0.52584,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r006_006,LABEL_1,0.521334,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r006_007,LABEL_1,0.522801,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r006_008,LABEL_1,0.524205,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r006_009,LABEL_1,0.522143,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r006_010,LABEL_1,0.522537,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r006_011,LABEL_1,0.525523,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_000,LABEL_1,0.526561,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_001,LABEL_1,0.526067,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_002,LABEL_1,0.524394,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_003,LABEL_1,0.528019,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_004,LABEL_1,0.524897,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_005,LABEL_1,0.528472,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_006,LABEL_1,0.529402,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_007,LABEL_1,0.524366,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_008,LABEL_1,0.519799,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_009,LABEL_1,0.522752,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_010,LABEL_1,0.51806,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_011,LABEL_1,0.521656,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_012,LABEL_1,0.520909,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_013,LABEL_1,0.52032,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_014,LABEL_1,0.517344,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_015,LABEL_1,0.517453,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_016,LABEL_1,0.520127,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_017,LABEL_1,0.516791,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_018,LABEL_1,0.521077,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_019,LABEL_1,0.522512,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r007_020,LABEL_1,0.521981,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r012_000,LABEL_1,0.522239,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r012_001,LABEL_1,0.518548,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r012_002,LABEL_1,0.519782,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r012_003,LABEL_1,0.524203,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r012_004,LABEL_1,0.520539,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r012_005,LABEL_1,0.519201,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r012_006,LABEL_1,0.516865,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r012_007,LABEL_1,0.519349,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r012_008,LABEL_1,0.522875,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r012_009,LABEL_1,0.520032,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r012_010,LABEL_1,0.514231,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r014_000,LABEL_1,0.531946,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r014_001,LABEL_1,0.527342,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r014_002,LABEL_1,0.529053,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r014_003,LABEL_1,0.530924,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r014_004,LABEL_1,0.524649,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r014_005,LABEL_1,0.536122,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r014_006,LABEL_1,0.528751,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r014_007,LABEL_1,0.528917,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r014_008,LABEL_1,0.531946,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r014_009,LABEL_1,0.527342,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
r014_010,LABEL_1,0.529053,True,GovernanceBERT-base,Local model,climatebert_multi_20260526T102806Z_2efca4
