record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r000_000,none,0.995394,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r000_001,social,0.98267,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r000_002,none,0.999572,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r006_000,none,0.99985,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r006_001,none,0.999828,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r006_002,none,0.999858,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r006_003,none,0.999832,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r006_004,none,0.999851,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r006_005,none,0.999843,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r006_006,none,0.999855,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r006_007,none,0.999859,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r006_008,none,0.999852,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r006_009,none,0.999857,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r006_010,none,0.999854,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r006_011,none,0.999865,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_000,none,0.999743,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_001,none,0.997503,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_002,none,0.998027,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_003,none,0.999833,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_004,none,0.999779,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_005,none,0.999774,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_006,none,0.999822,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_007,none,0.999868,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_008,none,0.999865,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_009,none,0.99987,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_010,none,0.999847,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_011,none,0.999871,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_012,none,0.999867,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_013,none,0.999856,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_014,none,0.999845,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_015,none,0.99984,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_016,none,0.999854,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_017,none,0.999839,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_018,none,0.999865,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_019,none,0.999866,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r007_020,none,0.999839,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r012_000,social,0.992232,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r012_001,none,0.999838,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r012_002,none,0.99985,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r012_003,none,0.999816,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r012_004,none,0.999832,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r012_005,none,0.999839,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r012_006,none,0.999827,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r012_007,none,0.999844,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r012_008,none,0.999861,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r012_009,none,0.999865,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r012_010,none,0.999852,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r014_000,none,0.999856,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r014_001,none,0.999874,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r014_002,none,0.99882,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r014_003,none,0.999878,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r014_004,none,0.999878,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
r014_005,none,0.999881,False,SocRoBERTa-social,Local model,climatebert_multi_20260526T103100Z_31b59c
