record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r000_000,yes,0.998192,True,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r000_001,yes,0.998123,True,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r000_002,no,0.996413,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r006_000,no,0.983868,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r006_001,no,0.977467,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r006_002,no,0.986134,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r006_003,no,0.976021,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r006_004,no,0.986801,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r006_005,no,0.986432,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r006_006,no,0.983083,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r006_007,no,0.989943,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r006_008,no,0.987398,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r006_009,no,0.978197,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r006_010,no,0.985169,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r006_011,no,0.942243,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r007_000,no,0.834885,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r007_001,no,0.773496,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r007_002,no,0.718912,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r007_003,no,0.660304,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r007_004,no,0.770081,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r007_005,no,0.740476,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r007_006,no,0.924666,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r007_007,no,0.972679,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r007_008,no,0.924787,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
r007_009,no,0.958569,False,distilroberta-base-climate-detector,Local model,climatebert_multi_20260526T112018Z_042fd5
