record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r000_000,LABEL_1,0.526937,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r000_001,LABEL_1,0.522597,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r000_002,LABEL_1,0.522365,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r006_000,LABEL_1,0.524588,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r006_001,LABEL_1,0.526816,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r006_002,LABEL_1,0.525877,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r006_003,LABEL_1,0.522167,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r006_004,LABEL_1,0.525847,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r006_005,LABEL_1,0.522732,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r006_006,LABEL_1,0.522414,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r006_007,LABEL_1,0.520621,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r006_008,LABEL_1,0.522776,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r006_009,LABEL_1,0.526608,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r006_010,LABEL_1,0.519873,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r006_011,LABEL_1,0.522915,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_000,LABEL_1,0.528867,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_001,LABEL_1,0.524253,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_002,LABEL_1,0.52615,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_003,LABEL_1,0.527466,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_004,LABEL_1,0.522097,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_005,LABEL_1,0.525181,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_006,LABEL_1,0.524243,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_007,LABEL_1,0.530608,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_008,LABEL_1,0.525176,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_009,LABEL_1,0.525027,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_010,LABEL_1,0.526116,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_011,LABEL_1,0.525977,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_012,LABEL_1,0.524961,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_013,LABEL_1,0.525898,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_014,LABEL_1,0.528984,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_015,LABEL_1,0.523372,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_016,LABEL_1,0.524596,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
r007_017,LABEL_1,0.525721,True,distilroberta-base-climate-d-s,Local model,climatebert_multi_20260526T112141Z_aafaae
