record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r000_000,LABEL_0,0.609042,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r000_001,LABEL_0,0.610009,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r000_002,LABEL_0,0.606063,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r006_000,LABEL_0,0.605788,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r006_001,LABEL_0,0.603941,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r006_002,LABEL_0,0.604998,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r006_003,LABEL_0,0.604638,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r006_004,LABEL_0,0.598184,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r006_005,LABEL_0,0.598207,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r006_006,LABEL_0,0.602794,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r006_007,LABEL_0,0.603642,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r006_008,LABEL_0,0.599308,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r006_009,LABEL_0,0.60662,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r006_010,LABEL_0,0.598785,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r006_011,LABEL_0,0.598676,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r007_000,LABEL_0,0.603257,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r007_001,LABEL_0,0.599607,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r007_002,LABEL_0,0.600265,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r007_003,LABEL_0,0.60113,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r007_004,LABEL_0,0.600609,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
r007_005,LABEL_0,0.599697,False,distilroberta-base-climate-d,Local model,climatebert_multi_20260526T112326Z_fc673d
