record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r000_000,yes,0.997265,True,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r000_001,yes,0.996325,True,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r000_002,yes,0.83004,True,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r006_000,no,0.754024,False,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r006_001,no,0.791135,False,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r006_002,no,0.953451,False,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r006_003,no,0.823216,False,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r006_004,no,0.712852,False,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r006_005,no,0.631042,False,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r006_006,yes,0.717254,True,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r006_007,yes,0.686833,True,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r006_008,no,0.873565,False,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r006_009,no,0.561926,False,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r006_010,no,0.699685,False,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r006_011,no,0.90901,False,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r007_000,no,0.736965,False,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r007_001,no,0.671373,False,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r007_002,no,0.633894,False,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r007_003,no,0.589925,False,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r007_004,no,0.647874,False,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
r007_005,no,0.569232,False,distilroberta-base-climate-commitment,Local model,climatebert_multi_20260526T112517Z_c8b7dc
