record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r007_003,none,0.989459,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_004,none,0.997706,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_005,none,0.992989,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_006,none,0.997603,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_007,none,0.997069,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_008,none,0.993779,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_009,none,0.997015,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_010,none,0.994285,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_011,none,0.99697,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_012,none,0.996075,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_013,none,0.994121,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_014,none,0.991449,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_015,none,0.993236,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_016,none,0.990743,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_017,none,0.992571,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_018,none,0.996671,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_019,none,0.992046,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r007_020,none,0.992641,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r012_000,none,0.864649,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r012_001,none,0.992216,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r012_002,none,0.98944,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r012_003,none,0.992549,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r012_004,none,0.992663,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r012_005,none,0.990497,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r012_006,none,0.992182,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r012_007,none,0.993345,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r012_008,none,0.99389,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r012_009,none,0.994593,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r012_010,none,0.994455,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_000,none,0.995597,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_001,none,0.991409,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_002,none,0.96271,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_003,none,0.996751,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_004,none,0.998079,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_005,none,0.996745,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_006,none,0.839105,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_007,none,0.996148,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_008,none,0.995597,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_009,none,0.991409,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_010,none,0.96271,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_011,none,0.996751,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_012,none,0.998079,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_013,none,0.996745,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_014,none,0.839105,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_015,none,0.996148,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_016,none,0.995597,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_017,none,0.991409,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_018,none,0.96271,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_019,none,0.996751,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_020,none,0.998079,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_021,none,0.996745,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_022,none,0.839105,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r014_023,none,0.996148,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_000,none,0.864649,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_001,none,0.997024,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_002,none,0.992142,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_003,none,0.98944,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_004,none,0.997491,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_005,none,0.993814,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_006,none,0.993233,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_007,none,0.99443,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_008,none,0.993024,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_009,none,0.997065,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_010,none,0.99333,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_011,none,0.990467,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_012,none,0.976171,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_013,none,0.99086,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_014,none,0.991851,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_015,none,0.965841,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_016,none,0.995215,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_017,none,0.99694,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_018,none,0.991796,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_019,none,0.996942,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r025_020,none,0.996925,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r027_000,none,0.980928,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
r027_001,governance,0.613244,False,GovernanceBERT-governance,Local model,climatebert_multi_20260526T114232Z_5d56af
