record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r007_018,none,0.998452,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r007_019,none,0.999336,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r007_020,none,0.998901,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r012_000,governance,0.680178,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r012_001,none,0.998694,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r012_002,none,0.99926,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r012_003,none,0.99846,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r012_004,none,0.999214,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r012_005,none,0.998972,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r012_006,none,0.999057,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r012_007,none,0.998579,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r012_008,none,0.999139,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r012_009,none,0.999212,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r012_010,none,0.999047,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_000,none,0.998544,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_001,none,0.999045,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_002,none,0.99818,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_003,none,0.999187,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_004,none,0.998981,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_005,none,0.999009,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_006,none,0.996039,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_007,none,0.998556,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_008,none,0.998544,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_009,none,0.999045,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_010,none,0.99818,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_011,none,0.999187,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_012,none,0.998981,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_013,none,0.999009,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_014,none,0.996039,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_015,none,0.998556,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_016,none,0.998544,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_017,none,0.999045,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_018,none,0.99818,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_019,none,0.999187,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_020,none,0.998981,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_021,none,0.999009,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_022,none,0.996039,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r014_023,none,0.998556,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_000,governance,0.680178,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_001,none,0.998706,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_002,none,0.998111,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_003,none,0.99926,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_004,none,0.99898,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_005,none,0.998957,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_006,none,0.999139,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_007,none,0.99894,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_008,none,0.99897,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_009,none,0.998829,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_010,none,0.997987,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_011,none,0.998279,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_012,none,0.757239,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_013,none,0.999319,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_014,none,0.998934,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_015,governance,0.590821,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_016,none,0.999019,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_017,none,0.998724,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_018,none,0.998846,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_019,none,0.999045,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r025_020,none,0.998568,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r027_000,none,0.997707,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r027_001,governance,0.921379,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r027_002,none,0.978579,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r027_003,none,0.822282,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r027_004,none,0.681718,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r027_005,governance,0.977555,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
r027_006,governance,0.973124,False,GovRoBERTa-governance,Local model,climatebert_multi_20260527T052155Z_0261a1
