record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r000_000,Brown Projects,0.974125,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
r000_001,Brown Projects,0.973338,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
r000_002,Misinformation,0.516433,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
r006_000,Brown Projects,0.805216,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
r006_001,Brown Projects,0.729215,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
r006_002,Brown Projects,0.739899,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
r006_003,Brown Projects,0.74477,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
r006_004,Brown Projects,0.880835,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
r006_005,Brown Projects,0.832992,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
r006_006,Brown Projects,0.828032,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
r006_007,Brown Projects,0.793677,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
r006_008,Brown Projects,0.801865,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
r006_009,Brown Projects,0.824301,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
r006_010,Brown Projects,0.892226,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
r006_011,Brown Projects,0.879235,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
r007_000,Brown Projects,0.447926,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
r007_001,Brown Projects,0.492671,False,ClimateControversyBERT_classification/model_classification,Local model,climatebert_multi_20260527T052328Z_f1f60c
