record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
llm_5c0a1c12c74e,none,0.640091,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_d37775ef7c6c,none,0.605652,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_eedeefa501f0,reduction,0.834065,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_a69fb13a34d3,none,0.842482,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_06b2be070dd7,none,0.808941,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_11e251cf176e,reduction,0.523138,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_a14323d03303,none,0.57143,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_bef299b8ed5d,none,0.850917,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_e426b0b9d626,none,0.903679,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_2d4f680620da,reduction,0.812591,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_f9b1b8c4a5fe,none,0.988568,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_c3e3a6261373,net-zero,0.937739,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_6af7d7ddebdd,reduction,0.99863,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_c83c100581e3,reduction,0.994877,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_6284bf45d8a2,reduction,0.937138,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_e525e89ae4c1,reduction,0.716984,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_6e017c65bbf2,none,0.850882,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_e8b64d5e587a,reduction,0.47297,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_594f2be32b56,none,0.577423,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_3a7b2e1d488f,reduction,0.974861,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_3028d358493d,reduction,0.649508,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_3f495e31a5f6,reduction,0.997946,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_00bea83acd7f,reduction,0.95483,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_51dbdee77544,none,0.989109,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_7ddaf2d6bc4c,none,0.715533,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_a0ffc9a24389,none,0.991612,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_56a65169b44e,reduction,0.970113,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
llm_67cde6499d96,reduction,0.997922,False,netzero-reduction,Local model,climatebert_multi_20260527T052844Z_f7aea4
