record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
llm_77f82b7672d2,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_bb7e0df2fb14,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_a34348a5a30f,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_d2025c2ab9e2,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_2684c5284abc,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_064a216b392c,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_981f47fe583b,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_186831d6a1e5,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_a71ecc5b7b55,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_4f9e8457a9a0,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_139f2202cd50,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_aaa828b51ac4,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_26e45d612b07,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_c9a632eca150,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_7f2c0a0aeca2,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_ada2bd89a683,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_a39449bb077e,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_6139b5fb13bf,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_4bda75fac7fe,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_e9f39f46b109,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_c826ac6fa037,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_4b492e0e17c1,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_84cc8d875ec6,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_aa54ea8fa315,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_5bca8d08a022,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_15093540da53,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_a0440d82de18,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_2af72614750d,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_643e252c3969,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_c6771590479a,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_02c7846dc150,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_2d9e46c1bbba,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_5f79748c8d31,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_7d474ec52274,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_befd7fee02b2,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_47cc12d09b31,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_c59dd47ac311,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_9afe25fd66cd,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_67701f8f5384,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_2c6688cf9957,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_1a2199db4b5d,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_df4095fa3982,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_2853df69a3ff,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_c4fa73129f50,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
llm_700ac6656cc6,LABEL_1,0.999392,True,transition-physical,Local model,climatebert_multi_20260527T053033Z_45c5a2
