record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r014_019,LABEL_1,0.519192,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r014_020,LABEL_1,0.517099,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r014_021,LABEL_1,0.515988,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r014_022,LABEL_1,0.510928,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r014_023,LABEL_1,0.516598,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r025_000,LABEL_0,0.504378,False,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r025_001,LABEL_1,0.513586,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r025_002,LABEL_1,0.508994,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r025_003,LABEL_1,0.504439,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r025_004,LABEL_1,0.514208,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r025_005,LABEL_0,0.500323,False,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r025_006,LABEL_0,0.510416,False,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r025_007,LABEL_1,0.51155,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r025_008,LABEL_1,0.508716,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r025_009,LABEL_1,0.516671,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r025_010,LABEL_1,0.510606,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r025_011,LABEL_1,0.505723,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r025_012,LABEL_1,0.507401,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r025_013,LABEL_1,0.501349,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r025_014,LABEL_1,0.510979,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
r025_015,LABEL_1,0.508977,True,GovRoBERTa-base,Local model,climatebert_multi_20260527T053602Z_904c0d
