record_id,label,score,climate_commitment,climatebert_model,climatebert_model_backend,climatebert_job_id
r073_013,environmental,0.951241,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r073_014,environmental,0.856024,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r073_015,environmental,0.968276,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r073_016,environmental,0.943044,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r073_017,environmental,0.892122,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r079_000,none,0.997661,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r079_001,environmental,0.929796,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r079_002,environmental,0.860073,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r079_003,environmental,0.982066,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r079_004,environmental,0.991629,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r079_005,environmental,0.980221,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r079_006,environmental,0.987181,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r079_007,none,0.997888,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r079_008,none,0.998462,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r079_009,none,0.99806,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r079_010,none,0.998472,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r079_011,none,0.998305,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r079_012,none,0.998113,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r079_013,none,0.997825,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r080_000,environmental,0.967425,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r080_001,environmental,0.933483,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r080_002,none,0.995645,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r080_003,environmental,0.969611,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r080_004,environmental,0.858588,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r080_005,environmental,0.900422,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r080_006,none,0.998238,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r080_007,none,0.997663,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r080_008,environmental,0.979214,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r081_000,none,0.989442,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r081_001,none,0.982756,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r081_002,none,0.986147,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r081_003,none,0.995979,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r081_004,none,0.996666,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
r084_000,environmental,0.972529,False,EnvRoBERTa-environmental,Local model,climatebert_multi_20260527T054243Z_efcaec
