aspect,records,suggested_path,cluster,suggested_cluster
missing,60,,Other,Other
none,23,,Other,Other
climate-d,8,ClimateBERT -> climate-d,Other,Energy & Climate
climate-d-s,4,ClimateBERT -> climate-d-s,Other,Energy & Climate
climate,2,ClimateBERT -> climate,Other,Energy & Climate
pelatihan antikorupsi,1,,Governance & Ethics,Governance & Ethics
roadmap karbon,1,,Energy & Climate,Energy & Climate
pelatihan antikorupsi untuk karyawan,1,,Governance & Ethics,Governance & Ethics
pelatihan antikorupsi untuk komisaris dan direksi,1,,Governance & Ethics,Governance & Ethics
pemetaan risiko korupsi,1,,Energy & Climate,Governance & Ethics
pendekatan karbon,1,,Energy & Climate,Energy & Climate
pendekatan manajemen karbon,1,,Energy & Climate,Energy & Climate
penolakan korupsi,1,,Governance & Ethics,Governance & Ethics
antikorupsi,1,,Governance & Ethics,Governance & Ethics
roadmap manajemen karbon 2050,1,,Energy & Climate,Energy & Climate
sertifikasi smap,1,,Governance & Ethics,Other
sinergi pengembangan energi bersih,1,,Energy & Climate,Energy & Climate
pedoman smap,1,,Governance & Ethics,Other
sosialisasi antikorupsi untuk komisaris dan direksi,1,,Governance & Ethics,Governance & Ethics
sosialisasi antikorupsi untuk vendor,1,,Governance & Ethics,Governance & Ethics
sosialisasi kebijakan antikorupsi,1,,Governance & Ethics,Governance & Ethics
strategic adaptation,1,,Governance & Ethics,Other
strategy,1,,Governance & Ethics,Other
sustainable expansion,1,,Financial Sustainability,Other
sosialisasi antikorupsi untuk karyawan,1,,Governance & Ethics,Governance & Ethics
konflik kepentingan,1,,Governance & Ethics,Governance & Ethics
optimasi lingkungan,1,,Energy & Climate,Other
mitigasi korupsi,1,,Governance & Ethics,Governance & Ethics
climate-strategy,1,ClimateBERT -> climate-strategy,Other,Energy & Climate
definisi hukum korupsi,1,,Governance & Ethics,Governance & Ethics
definisi konflik kepentingan,1,,Governance & Ethics,Governance & Ethics
economic growth,1,,Financial Sustainability,Financial Sustainability
economic resilience,1,,Financial Sustainability,Financial Sustainability
identifikasi risiko korupsi,1,,Governance & Ethics,Governance & Ethics
implementasi antikorupsi,1,,Governance & Ethics,Governance & Ethics
implementasi eco-mechanized mining,1,,Energy & Climate,Other
kebijakan antigratifikasi,1,,Governance & Ethics,Governance & Ethics
kebijakan antikorupsi,1,,Governance & Ethics,Governance & Ethics
kebijakan konflik kepentingan,1,,Governance & Ethics,Governance & Ethics
kerja sama energi bersih,1,,Energy & Climate,Energy & Climate
komitmen bisnis berkelanjutan,1,,Financial Sustainability,Other
komitmen esg,1,,Energy & Climate,Other
komitmen net zero,1,,Energy & Climate,Energy & Climate
komitmen net zero emission,1,,Energy & Climate,Energy & Climate
komitmen net zero emission 2060,1,,Energy & Climate,Energy & Climate
teknologi ramah lingkungan,1,,Energy & Climate,Digital & Data
