record_id,phase,phase_reason,first_seen_at,updated_at,updated_by
r000_000,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r000_001,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r000_002,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r006_000,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r006_001,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r006_002,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r006_003,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r006_004,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r006_005,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r006_006,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r006_007,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r006_008,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r006_009,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r006_010,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r006_011,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_000,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_001,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_002,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
