trigger_category,tone_pred,count
action,action,19
action,commitment,19
action,missing,8
action,none,1
action,outcome,1
commitment,action,30
commitment,commitment,53
commitment,missing,36
commitment,none,9
commitment,outcome,6
hedge,action,32
hedge,commitment,28
hedge,missing,9
hedge,none,13
hedge,outcome,7
outcome,action,15
outcome,commitment,17
outcome,missing,19
outcome,none,2
outcome,outcome,18
passive,action,5
passive,commitment,6
passive,missing,2
passive,none,4
passive,outcome,7
regulatory_id,action,17
regulatory_id,commitment,8
regulatory_id,missing,3
regulatory_id,outcome,2
table_layout,action,4
table_layout,commitment,7
table_layout,missing,3
table_layout,none,2
table_layout,outcome,24
