aspect,records,mapped_to_ontology,suggested_path
climate-detection,79,True,ClimateBERT -> climate-detection
governance,66,True,Governance -> General
missing,60,False,
none,23,False,
climate-action,19,True,ClimateBERT -> climate-action
climate-commitment,15,True,ClimateBERT -> climate-commitment
environmental-claims,11,True,ClimateBERT -> environmental-claims
climate-d,8,False,ClimateBERT -> climate-d
climate-d-s,4,False,ClimateBERT -> climate-d-s
netzero-reduction,4,True,ClimateBERT -> netzero-reduction
climate,2,False,ClimateBERT -> climate
pelatihan antikorupsi,1,False,
roadmap karbon,1,False,
pelatihan antikorupsi untuk karyawan,1,False,
pelatihan antikorupsi untuk komisaris dan direksi,1,False,
pemetaan risiko korupsi,1,False,
pendekatan karbon,1,False,
pendekatan manajemen karbon,1,False,
penolakan korupsi,1,False,
antikorupsi,1,False,
roadmap manajemen karbon 2050,1,False,
sertifikasi smap,1,False,
sinergi pengembangan energi bersih,1,False,
pedoman smap,1,False,
sosialisasi antikorupsi untuk komisaris dan direksi,1,False,
sosialisasi antikorupsi untuk vendor,1,False,
sosialisasi kebijakan antikorupsi,1,False,
strategic adaptation,1,False,
strategy,1,False,
sustainable expansion,1,False,
sosialisasi antikorupsi untuk karyawan,1,False,
konflik kepentingan,1,False,
optimasi lingkungan,1,False,
mitigasi korupsi,1,False,
climate-strategy,1,False,ClimateBERT -> climate-strategy
definisi hukum korupsi,1,False,
definisi konflik kepentingan,1,False,
economic growth,1,False,
economic resilience,1,False,
identifikasi risiko korupsi,1,False,
implementasi antikorupsi,1,False,
implementasi eco-mechanized mining,1,False,
kebijakan antigratifikasi,1,False,
kebijakan antikorupsi,1,False,
kebijakan konflik kepentingan,1,False,
kerja sama energi bersih,1,False,
komitmen bisnis berkelanjutan,1,False,
komitmen esg,1,False,
komitmen net zero,1,False,
komitmen net zero emission,1,False,
komitmen net zero emission 2060,1,False,
teknologi ramah lingkungan,1,False,
