:START_ID,:END_ID,:TYPE
record:r000_000,company:best_sr_2024,FROM_COMPANY
record:r000_000,model:arcee_ai_trinity_large_preview_free,GENERATED_BY_MODEL
record:r000_000,prompt:tone_zero_shot_english_md,USED_PROMPT
record:r000_000,aspect:environmental_claims,HAS_ASPECT
record:r000_000,esgpillar:e,HAS_PILLAR
record:r000_000,tone:commitment,HAS_TONE
record:r000_000,sentiment:neutral,HAS_SENTIMENT
record:r000_000,climatelabel:climate_detection,HAS_CLIMATE_LABEL
record:r000_000,climatelabel:climate_d,HAS_CLIMATE_LABEL
record:r000_000,climatelabel:climate_d_s,HAS_CLIMATE_LABEL
record:r000_000,climatelabel:climate_specificity,HAS_CLIMATE_LABEL
record:r000_000,climatelabel:environmental_claims,HAS_CLIMATE_LABEL
record:r000_001,company:best_sr_2024,FROM_COMPANY
record:r000_001,model:arcee_ai_trinity_large_preview_free,GENERATED_BY_MODEL
record:r000_001,prompt:tone_zero_shot_english_md,USED_PROMPT
record:r000_001,aspect:environmental_claims,HAS_ASPECT
record:r000_001,esgpillar:e,HAS_PILLAR
record:r000_001,tone:commitment,HAS_TONE
record:r000_001,sentiment:neutral,HAS_SENTIMENT
record:r000_001,climatelabel:climate_detection,HAS_CLIMATE_LABEL
record:r000_001,climatelabel:climate_d,HAS_CLIMATE_LABEL
record:r000_001,climatelabel:climate_d_s,HAS_CLIMATE_LABEL
record:r000_001,climatelabel:climate_specificity,HAS_CLIMATE_LABEL
record:r000_001,climatelabel:environmental_claims,HAS_CLIMATE_LABEL
record:r000_002,company:best_sr_2024,FROM_COMPANY
record:r000_002,model:arcee_ai_trinity_large_preview_free,GENERATED_BY_MODEL
record:r000_002,prompt:tone_zero_shot_english_md,USED_PROMPT
record:r000_002,aspect:governance,HAS_ASPECT
record:r000_002,esgpillar:g,HAS_PILLAR
record:r000_002,tone:action,HAS_TONE
record:r000_002,sentiment:neutral,HAS_SENTIMENT
record:r000_002,climatelabel:governance,HAS_CLIMATE_LABEL
record:r006_000,company:vktr_ar_sr_2024,FROM_COMPANY
record:r006_000,model:arcee_ai_trinity_large_preview_free,GENERATED_BY_MODEL
record:r006_000,prompt:tone_chain_of_thought_english_md,USED_PROMPT
record:r006_000,aspect:climate_detection,HAS_ASPECT
record:r006_000,esgpillar:e,HAS_PILLAR
record:r006_000,tone:commitment,HAS_TONE
record:r006_000,sentiment:neutral,HAS_SENTIMENT
record:r006_000,climatelabel:climate_commitment,HAS_CLIMATE_LABEL
record:r006_000,climatelabel:climate_specificity,HAS_CLIMATE_LABEL
record:r006_000,climatelabel:climate_sentiment,HAS_CLIMATE_LABEL
record:r006_000,climatelabel:climate_s,HAS_CLIMATE_LABEL
record:r006_000,climatelabel:climate_f,HAS_CLIMATE_LABEL
record:r006_000,climatelabel:strategy,HAS_CLIMATE_LABEL
record:r006_000,climatelabel:environmental_claims,HAS_CLIMATE_LABEL
record:r006_001,company:vktr_ar_sr_2024,FROM_COMPANY
record:r006_001,model:arcee_ai_trinity_large_preview_free,GENERATED_BY_MODEL
record:r006_001,prompt:tone_chain_of_thought_english_md,USED_PROMPT
record:r006_001,aspect:climate_detection,HAS_ASPECT
record:r006_001,esgpillar:e,HAS_PILLAR
record:r006_001,tone:outcome,HAS_TONE
record:r006_001,sentiment:positive,HAS_SENTIMENT
record:r006_001,climatelabel:climate_d,HAS_CLIMATE_LABEL
record:r006_001,climatelabel:climate_specificity,HAS_CLIMATE_LABEL
record:r006_001,climatelabel:climate_sentiment,HAS_CLIMATE_LABEL
record:r006_001,climatelabel:climate_s,HAS_CLIMATE_LABEL
record:r006_001,climatelabel:climate_tcfd,HAS_CLIMATE_LABEL
record:r006_001,climatelabel:strategy,HAS_CLIMATE_LABEL
record:r006_001,climatelabel:environmental_claims,HAS_CLIMATE_LABEL
record:r006_002,company:vktr_ar_sr_2024,FROM_COMPANY
record:r006_002,model:arcee_ai_trinity_large_preview_free,GENERATED_BY_MODEL
record:r006_002,prompt:tone_chain_of_thought_english_md,USED_PROMPT
record:r006_002,aspect:climate_detection,HAS_ASPECT
record:r006_002,esgpillar:e,HAS_PILLAR
record:r006_002,tone:commitment,HAS_TONE
record:r006_002,sentiment:neutral,HAS_SENTIMENT
record:r006_002,climatelabel:climate_commitment,HAS_CLIMATE_LABEL
record:r006_002,climatelabel:climate_specificity,HAS_CLIMATE_LABEL
record:r006_002,climatelabel:climate_sentiment,HAS_CLIMATE_LABEL
record:r006_002,climatelabel:climate_s,HAS_CLIMATE_LABEL
record:r006_002,climatelabel:climate_f,HAS_CLIMATE_LABEL
record:r006_002,climatelabel:strategy,HAS_CLIMATE_LABEL
record:r006_002,climatelabel:environmental_claims,HAS_CLIMATE_LABEL
record:r006_003,company:vktr_ar_sr_2024,FROM_COMPANY
record:r006_003,model:arcee_ai_trinity_large_preview_free,GENERATED_BY_MODEL
record:r006_003,prompt:tone_chain_of_thought_english_md,USED_PROMPT
record:r006_003,aspect:climate_detection,HAS_ASPECT
record:r006_003,esgpillar:e,HAS_PILLAR
record:r006_003,tone:commitment,HAS_TONE
record:r006_003,sentiment:neutral,HAS_SENTIMENT
record:r006_003,climatelabel:climate_commitment,HAS_CLIMATE_LABEL
record:r006_003,climatelabel:climate_specificity,HAS_CLIMATE_LABEL
record:r006_003,climatelabel:climate_sentiment,HAS_CLIMATE_LABEL
record:r006_003,climatelabel:climate_s,HAS_CLIMATE_LABEL
record:r006_003,climatelabel:climate_f,HAS_CLIMATE_LABEL
record:r006_003,climatelabel:strategy,HAS_CLIMATE_LABEL
record:r006_003,climatelabel:environmental_claims,HAS_CLIMATE_LABEL
record:r006_004,company:vktr_ar_sr_2024,FROM_COMPANY
record:r006_004,model:arcee_ai_trinity_large_preview_free,GENERATED_BY_MODEL
record:r006_004,prompt:tone_chain_of_thought_english_md,USED_PROMPT
record:r006_004,aspect:climate_detection,HAS_ASPECT
record:r006_004,esgpillar:e,HAS_PILLAR
record:r006_004,tone:action,HAS_TONE
record:r006_004,sentiment:neutral,HAS_SENTIMENT
record:r006_004,climatelabel:climate_d,HAS_CLIMATE_LABEL
record:r006_004,climatelabel:climate_specificity,HAS_CLIMATE_LABEL
record:r006_004,climatelabel:climate_sentiment,HAS_CLIMATE_LABEL
record:r006_004,climatelabel:climate_s,HAS_CLIMATE_LABEL
record:r006_004,climatelabel:climate_tcfd,HAS_CLIMATE_LABEL
record:r006_004,climatelabel:strategy,HAS_CLIMATE_LABEL
record:r006_004,climatelabel:environmental_claims,HAS_CLIMATE_LABEL
record:r006_005,company:vktr_ar_sr_2024,FROM_COMPANY
record:r006_005,model:arcee_ai_trinity_large_preview_free,GENERATED_BY_MODEL
record:r006_005,prompt:tone_chain_of_thought_english_md,USED_PROMPT
record:r006_005,aspect:climate_detection,HAS_ASPECT
record:r006_005,esgpillar:e,HAS_PILLAR
record:r006_005,tone:action,HAS_TONE
record:r006_005,sentiment:neutral,HAS_SENTIMENT
record:r006_005,climatelabel:climate_d,HAS_CLIMATE_LABEL
record:r006_005,climatelabel:climate_specificity,HAS_CLIMATE_LABEL
record:r006_005,climatelabel:climate_sentiment,HAS_CLIMATE_LABEL
record:r006_005,climatelabel:climate_s,HAS_CLIMATE_LABEL
record:r006_005,climatelabel:climate_tcfd,HAS_CLIMATE_LABEL
record:r006_005,climatelabel:strategy,HAS_CLIMATE_LABEL
record:r006_005,climatelabel:environmental_claims,HAS_CLIMATE_LABEL
record:r006_006,company:vktr_ar_sr_2024,FROM_COMPANY
record:r006_006,model:arcee_ai_trinity_large_preview_free,GENERATED_BY_MODEL
