job_id,status,completed,total,failed,skipped,progress_pct,document,updated_at
llm_bg_20260511T152142Z_b64670,completed,3,3,0,0,100.0,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf,2026-05-11T15:21:43Z
llm_bg_action_20260519T075103Z_caf49b,completed,100,100,3,0,100.0,ABM_2025_ABMM_SR_2025_pdf,2026-05-19T08:22:35Z
llm_bg_action_20260519T075211Z_c61518,completed,5,5,0,0,100.0,AR SR GTRA 2024___pdf,2026-05-19T07:53:42Z
llm_bg_action_20260519T075240Z_95ec2e,completed,40,40,3,0,100.0,BEST-SR_2024_pdf,2026-05-19T08:11:56Z
llm_bg_action_20260519T205042Z_ed0875,completed,120,120,50,0,100.0,wika_beton_SR-WTON-2025_pdf,2026-05-20T02:42:07Z
llm_bg_action_20260519T205831Z_cb9d9f,completed,60,60,30,0,100.0,ARCI-SR-2025-E-reporting_pdf,2026-05-20T01:05:43Z
llm_bg_action_20260519T205901Z_9fc259,completed,100,100,34,0,100.0,SR-Bank-Aladin-Syariah-2025_pdf,2026-05-20T02:45:08Z
llm_bg_action_20260519T205923Z_6eca10,completed,150,150,68,0,100.0,alfamart_sustainability_2025_pdf,2026-05-20T03:00:18Z
llm_bg_action_20260519T210244Z_c9669e,completed,150,150,56,0,100.0,alfamart_sustainability_2025_pdf,2026-05-20T02:59:31Z
llm_bg_action_20260519T210251Z_28b6e3,completed,150,150,74,0,100.0,alfamart_sustainability_2025_pdf,2026-05-20T05:01:29Z
llm_bg_action_20260520T130315Z_fd76bd,completed,50,50,28,0,100.0,alfamart_sustainability_2025_pdf,2026-05-20T14:36:25Z
llm_bg_smoke_20260511T132812Z_218cf5,completed,1,1,0,0,100.0,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf,2026-05-11T13:28:14Z
llm_processing_bg_20260511T233421Z_b3baf2,completed,4,4,0,0,100.0,SCM_2024_090425-sr24-scma-pdf-final_pdf,2026-05-11T23:36:07Z
llm_processing_bg_20260512T045837Z_84d3c0,completed,13,13,0,0,100.0,icr-sustainability-23-24_pdf,2026-05-12T05:07:25Z
llm_processing_bg_20260512T045954Z_307759,completed,13,13,4,0,100.0,icr-sustainability-23-24_pdf,2026-05-12T05:07:16Z
llm_processing_bg_20260512T050110Z_4be430,completed,13,13,3,0,100.0,icr-sustainability-23-24_pdf,2026-05-12T05:20:44Z
llm_processing_bg_20260512T051154Z_4b550e,completed,50,50,1,0,100.0,GoTo_s 2021 Sustainability Report_pdf,2026-05-12T05:45:33Z
llm_processing_bg_20260512T051424Z_d40541,completed,50,50,50,0,100.0,GoTo_s 2021 Sustainability Report_pdf,2026-05-12T05:14:32Z
llm_processing_bg_20260512T051518Z_d9b811,failed,39,50,39,0,78.0,GoTo_s 2021 Sustainability Report_pdf,2026-05-12T08:42:41Z
llm_processing_bg_20260512T051530Z_2ab81e,failed,33,50,33,0,66.0,GoTo_s 2021 Sustainability Report_pdf,2026-05-12T08:34:10Z
llm_processing_bg_20260512T051551Z_c3b12a,failed,24,50,24,0,48.0,GoTo_s 2021 Sustainability Report_pdf,2026-05-12T08:33:24Z
llm_processing_bg_20260512T051607Z_585f1e,failed,13,50,13,0,26.0,GoTo_s 2021 Sustainability Report_pdf,2026-05-12T08:32:31Z
llm_processing_bg_20260512T051616Z_537e84,completed,50,50,50,0,100.0,GoTo_s 2021 Sustainability Report_pdf,2026-05-12T08:44:10Z
llm_processing_bg_20260512T051624Z_b57d0f,completed,50,50,50,0,100.0,GoTo_s 2021 Sustainability Report_pdf,2026-05-12T08:44:25Z
llm_processing_bg_20260512T060436Z_bd8b10,failed,62,69,62,0,89.9,arci-sustainability-report-2021_pdf,2026-05-12T08:46:24Z
llm_processing_bg_20260512T060457Z_d01c31,completed,69,69,69,0,100.0,arci-sustainability-report-2021_pdf,2026-05-12T08:47:31Z
llm_processing_bg_20260512T060513Z_27f7cd,completed,69,69,69,0,100.0,arci-sustainability-report-2021_pdf,2026-05-12T08:47:36Z
llm_processing_bg_20260512T060524Z_3727fe,completed,69,69,69,0,100.0,arci-sustainability-report-2021_pdf,2026-05-12T08:50:06Z
llm_processing_bg_20260512T074120Z_31ed7d,completed,87,87,87,0,100.0,GoTo_s 2022 Sustainability Report_pdf,2026-05-12T08:46:55Z
llm_processing_bg_20260512T074348Z_2095f5,completed,87,87,87,0,100.0,GoTo_s 2022 Sustainability Report_pdf,2026-05-12T07:44:06Z
llm_processing_bg_20260512T074353Z_82fa90,failed,2,87,2,0,2.3,GoTo_s 2022 Sustainability Report_pdf,2026-05-12T08:34:10Z
llm_processing_bg_20260512T074404Z_7f9922,completed,87,87,87,0,100.0,GoTo_s 2022 Sustainability Report_pdf,2026-05-12T08:51:54Z
llm_processing_bg_20260512T074419Z_6f8f3a,completed,87,87,87,0,100.0,GoTo_s 2022 Sustainability Report_pdf,2026-05-12T08:51:55Z
llm_processing_bg_20260512T074437Z_fa14f0,completed,87,87,87,0,100.0,GoTo_s 2022 Sustainability Report_pdf,2026-05-12T08:51:59Z
llm_processing_bg_20260512T074447Z_88c618,completed,87,87,87,0,100.0,GoTo_s 2022 Sustainability Report_pdf,2026-05-12T07:45:06Z
llm_processing_bg_20260512T074520Z_60a6d7,completed,87,87,2,0,100.0,GoTo_s 2022 Sustainability Report_pdf,2026-05-12T08:41:04Z
llm_processing_bg_20260512T074529Z_0f1032,completed,87,87,5,0,100.0,GoTo_s 2022 Sustainability Report_pdf,2026-05-12T09:55:31Z
llm_processing_bg_20260512T074542Z_f7cbae,completed,87,87,18,0,100.0,GoTo_s 2022 Sustainability Report_pdf,2026-05-12T08:42:57Z
llm_processing_bg_20260512T074558Z_d92aae,completed,66,66,5,0,100.0,GoTo_s 2024 Sustainability Report_pdf,2026-05-12T08:36:33Z
llm_processing_bg_20260512T074603Z_379460,completed,66,66,5,0,100.0,GoTo_s 2024 Sustainability Report_pdf,2026-05-12T09:34:05Z
llm_processing_bg_20260512T074611Z_1ced2d,completed,66,66,2,0,100.0,GoTo_s 2024 Sustainability Report_pdf,2026-05-12T08:35:51Z
llm_processing_bg_20260512T074617Z_4bc5f1,completed,66,66,66,0,100.0,GoTo_s 2024 Sustainability Report_pdf,2026-05-12T08:48:16Z
llm_processing_bg_20260512T074623Z_f5a620,completed,66,66,66,0,100.0,GoTo_s 2024 Sustainability Report_pdf,2026-05-12T08:48:20Z
llm_processing_bg_20260512T074632Z_967f95,completed,66,66,66,0,100.0,GoTo_s 2024 Sustainability Report_pdf,2026-05-12T08:48:28Z
llm_processing_bg_20260512T074643Z_6ff8ff,failed,8,66,8,0,12.1,GoTo_s 2024 Sustainability Report_pdf,2026-05-12T08:32:51Z
llm_processing_bg_20260512T074648Z_5233e9,failed,29,66,29,0,43.9,GoTo_s 2024 Sustainability Report_pdf,2026-05-12T08:36:33Z
llm_processing_bg_20260512T074652Z_3c3ba0,completed,66,66,66,0,100.0,GoTo_s 2024 Sustainability Report_pdf,2026-05-12T08:44:32Z
llm_processing_bg_20260512T074759Z_5c716e,completed,46,46,46,0,100.0,GoTo_s 2023 Sustainability Report_pdf,2026-05-12T08:42:05Z
llm_processing_bg_20260512T074803Z_5a2324,completed,46,46,46,0,100.0,GoTo_s 2023 Sustainability Report_pdf,2026-05-12T08:46:41Z
llm_processing_bg_20260512T074819Z_afff1f,completed,46,46,46,0,100.0,GoTo_s 2023 Sustainability Report_pdf,2026-05-12T08:42:34Z
llm_processing_bg_20260512T074823Z_9cc436,completed,46,46,46,0,100.0,GoTo_s 2023 Sustainability Report_pdf,2026-05-12T08:47:07Z
llm_processing_bg_20260512T074835Z_c8cd31,completed,46,46,46,0,100.0,GoTo_s 2023 Sustainability Report_pdf,2026-05-12T08:43:06Z
llm_processing_bg_20260512T074841Z_8976cd,completed,46,46,46,0,100.0,GoTo_s 2023 Sustainability Report_pdf,2026-05-12T08:47:22Z
llm_processing_bg_20260512T122206Z_a2c3f8,completed,46,46,3,0,100.0,GoTo_s 2023 Sustainability Report_pdf,2026-05-12T13:39:47Z
llm_processing_bg_20260512T122309Z_ce1d9b,completed,32,32,2,0,100.0,Annual_Report_2024_pdf,2026-05-12T12:42:53Z
llm_processing_bg_20260512T122317Z_7d4ae6,completed,32,32,4,0,100.0,Annual_Report_2024_pdf,2026-05-12T12:33:53Z
llm_processing_bg_20260512T122324Z_216054,completed,32,32,1,0,100.0,Annual_Report_2024_pdf,2026-05-12T12:37:11Z
llm_processing_bg_20260512T122538Z_cff19e,completed,210,210,210,0,100.0,Annual_Report_PT_Soho_Global_Health_Tbk_FY_2023_pdf,2026-05-12T12:42:51Z
llm_processing_bg_20260512T123010Z_d98fc5,completed,250,250,250,0,100.0,Annual_Report_PT_Soho_Global_Health_Tbk_website_pdf,2026-05-12T12:50:26Z
llm_processing_bg_20260512T123016Z_b81190,failed,69,250,69,0,27.6,Annual_Report_PT_Soho_Global_Health_Tbk_website_pdf,2026-05-12T12:37:17Z
llm_processing_bg_20260512T123228Z_2c1da6,completed,210,210,210,0,100.0,Annual_Report_PT_Soho_Global_Health_Tbk_FY_2023_pdf,2026-05-12T12:52:10Z
llm_processing_bg_20260512T123232Z_b28e38,failed,96,210,96,0,45.7,Annual_Report_PT_Soho_Global_Health_Tbk_FY_2023_pdf,2026-05-12T12:40:50Z
llm_processing_bg_20260513T010812Z_a41f6b,failed,59,135,59,0,43.7,waskita_precast_SR-2025_pdf,2026-05-13T01:14:17Z
llm_processing_bg_20260513T010816Z_b08ced,failed,60,135,60,0,44.4,waskita_precast_SR-2025_pdf,2026-05-13T01:14:27Z
llm_processing_bg_20260513T010819Z_04fe26,failed,11,135,11,0,8.1,waskita_precast_SR-2025_pdf,2026-05-13T01:09:30Z
llm_processing_bg_20260513T010832Z_3009dd,failed,43,135,43,0,31.9,waskita_precast_SR-2025_pdf,2026-05-13T01:14:05Z
llm_processing_bg_20260513T010840Z_c3c4da,completed,135,135,135,0,100.0,waskita_precast_SR-2025_pdf,2026-05-13T01:25:32Z
llm_processing_bg_20260513T010845Z_308d49,failed,22,135,22,0,16.3,waskita_precast_SR-2025_pdf,2026-05-13T01:11:51Z
llm_processing_bg_20260513T010924Z_843fe7,completed,135,135,3,0,100.0,waskita_precast_SR-2025_pdf,2026-05-13T03:16:20Z
