document,status,pages,error
alfamart_sustainability_2025.pdf,done,510,
IR_2024_AGII_submission.pdf,done,460,
sustainability-report-pt-smi-2024.pdf,done,354,
DSNG-Sustainability-Report-24-EN-FinCir-13052025.pdf,done,132,
20250526113828-2025-05-26ptba_laporan_berkelanjutan113825.pdf,done,482,
CG Programming Assignment 1.pdf,done,4,
FA SR BEBS 2023.pdf,done,65,
Sustainability Report 2024.pdf,done,330,
Sustainability Report 2023.pdf,done,206,
KBFG_2024_Sustainability Report_General Stakeholder_ENG.pdf,done,192,
KBFG_2024_Sustainability Report_Investor_ENG.pdf,done,59,
apollo-2024-sustainability-report-june-2025.pdf,done,112,
Bank Neo Commerce Annual and Sustainable Report Tahun 2024.pdf,done,694,
INTEGRA_IR2024_29APR25_FINAL_lores.pdf,done,293,
growing-together-to-achieve-a-better-impacts-1737540363.pdf,done,101,
collaboration-for-better-engagement-1737540448.pdf,done,78,
vktr_ar_sr_2024.pdf,done,548,
SR-Astrindo-2024-FINAL-_-highres.pdf,done,139,
BEST-SR_2024.pdf,done,75,
Blibli_Tiket_Sustainbility_Report-2024.pdf,done,105,
AR SR GTRA 2024__.pdf,done,266,
AR_GRPM_2024.pdf,done,234,
SR HOKI 2021_V5_opt.pdf,done,73,
