DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1016/j.jacceco.2010.09.001,"Understanding Earnings Quality: A Review of the Proxies, Their Determinants and Their Consequences","Patricia M. Dechow, Weili Ge, Catherine M. Schrand",Journal of Accounting and Economics,2010,(missing abstract),261042538,4488,697,,sna
10.1108/jal-08-2023-0143,"Theories underlying environmental, social and governance (ESG) disclosure: a systematic review of accounting studies","Carla Del Gesso, R. Lodhi",Journal of Accounting Literature,2024,"PurposeEnvironmental, social and governance (ESG) disclosure has gained momentum in corporate reporting. Addressing a research gap on the subject, this paper aims to explore the theories involved in ESG disclosure studies, thereby shedding light on the dominant theoretical approaches and emerging perspectives that inform this type of disclosure.Design/methodology/approachA systematic review of 142 selected accounting studies published up to June 2023 devoted to ESG – and corporate social responsibility (CSR) – disclosure was conducted. The theories underlying these studies were examined through a descriptive performance analysis complemented by a systematic qualitative text analysis using RStudio and QDA Miner software tools.FindingsThe study reveals that five dominant theories stand out among the overall 32 found: stakeholder theory first, followed by legitimacy, institutional, agency and signaling theories. Theories are often combined into an integrated theoretical framework. The findings also show an array of minor constructs – many of them unconventional – that offer fresh perspectives for studying ESG disclosure, such as upper echelons, stakeholder salience, cognitive cost and reputation theories, among others.Originality/valueThis paper provides an original literature contribution by offering a comprehensive overview of the mainstream and niche theoretical perspectives underpinning accounting studies focused on ESG disclosure, with a nuanced scope of discussion on the use of ESG/CSR terms.",268586006,159,105,,sna
10.1108/jal-08-2023-0143,"Theories underlying environmental, social and governance (ESG) disclosure: a systematic review of accounting studies","Carla Del Gesso, Rab Nawaz Lodhi",Journal of Accounting Literature,2024,"Purpose Environmental, social and governance (ESG) disclosure has gained momentum in corporate reporting. Addressing a research gap on the subject, this paper aims to explore the theories involved in ESG disclosure studies, thereby shedding light on the dominant theoretical approaches and emerging perspectives that inform this type of disclosure. Design/methodology/approach A systematic review of 142 selected accounting studies published up to June 2023 devoted to ESG – and corporate social responsibility (CSR) – disclosure was conducted. The theories underlying these studies were examined through a descriptive performance analysis complemented by a systematic qualitative text analysis using RStudio and QDA Miner software tools. Findings The study reveals that five dominant theories stand out among the overall 32 found: stakeholder theory first, followed by legitimacy, institutional, agency and signaling theories. Theories are often combined into an integrated theoretical framework. The findings also show an array of minor constructs – many of them unconventional – that offer fresh perspectives for studying ESG disclosure, such as upper echelons, stakeholder salience, cognitive cost and reputation theories, among others. Originality/value This paper provides an original literature contribution by offering a comprehensive overview of the mainstream and niche theoretical perspectives underpinning accounting studies focused on ESG disclosure, with a nuanced scope of discussion on the use of ESG/CSR terms.",268281255,110,64,,sna
(missing DOI),Joint word representation learning using a corpus and a semantic lexicon,"Danushka Bollegala, Alsuhaibani Mohammed, Takanori Maehara, Ken-ichi Kawarabayashi",(missing journal),2016,"Methods for learning word representations using large text corpora have received much attention lately due to their impressive performance in numerous natural language processing (NLP) tasks such as, semantic similarity measurement, and word analogy detection. Despite their success, these data-driven word representation learning methods do not consider the rich semantic relational structure between words in a co-occurring context. On the other hand, already much manual effort has gone into the construction of semantic lexicons such as the WordNet that represent the meanings of words by defining the various relationships that exist among the words in a language. We consider the question, can we improve the word representations learnt using a corpora by integrating the knowledge from semantic lexicons?. For this purpose, we propose a joint word representation learning method that simultaneously predicts the co-occurrences of two words in a sentence subject to the relational constrains given by the semantic lexicon. We use relations that exist between words in the lexicon to regularize the word representations learnt from the corpus. Our proposed method statistically significantly outperforms previously proposed methods for incorporating semantic lexicons into word representations on several benchmark datasets for semantic similarity and word analogy.",121707258,78,43,,sna
10.1109/access.2020.3031217,A Systematic Review on Implicit and Explicit Aspect Extraction in Sentiment Analysis,"Jaafar Zubairu Maitama, Norisma Idris, Asad Abdi, Liyana Shuib, Rosmadi Fauzi",IEEE Access,2020,"Aspect-based sentiment analysis (ABSA) is currently among the most vigorous areas in natural language processing (NLP). Individuals, private and government institutions are increasingly using media sources for decision making. In the last decade, aspect extraction has been the most essential phase of sentiment analysis (SA) to conduct an abridged sentiment classification. However, previous studies on sentiment analysis mostly focused on explicit aspects extraction with limited work on implicit aspects. To the best of our knowledge, this is the first systematic review that covers implicit, explicit, and the combination of both implicit and explicit aspect extractions. Therefore, this systematic review has been conducted to, 1) identify techniques used for extracting implicit, explicit, or both implicit and explicit aspects; 2) analyze the various evaluation metrics, data domains, and languages involved in the implicit and explicit aspect extraction in sentiment analysis from years 2008 to 2019; 3) identify the key challenges associated with the techniques based on the result of a comprehensive comparative analysis; and finally, 4) highlight the feasible opportunities for future research directions. This review can be used to assist novice and prominent researchers to understand the concept of both implicit and explicit aspect extractions in aspect-based sentiment analysis domain.",58467486,64,160,,"sna, summarization"
10.1108/sef-05-2023-0272,Country-level governance and sustainable development goals: implications for firms’ sustainability performance,"Faozi A. Almaqtari, Tamer Elsheikh, Khaled Hussainey, Mohammed A Al-bukhrani",Studies in Economics and Finance,2023,"
Purpose
The purpose of this study is to examine the impact of country-level governance on sustainability performance, taking into account the effect of sustainable development goals (SDGs) and board characteristics.


Design/methodology/approach
This study uses panel data analysis using fixed effect models to investigate the influence of country-level governance on sustainability performance while considering the effect of SDGs and board characteristics. The sample comprises 8,273 firms across 41 countries during the period spanning from 2016 to 2021. The sample is divided into two categories based on the score of SDGs.


Findings
The findings of this study show that countries with high SDGs score have better overall country-level governance and board attributes which have a statistically significant positive impact on sustainability performance. However, for those countries with low SDGs, political stability shows a statistically insignificant and negative impact on sustainability performance, while government effectiveness indicates a statistically insignificant positive impact on sustainability performance.


Originality/value
This study contributes to the literature by providing empirical evidence on the relationship between country-level governance, SDGs, board characteristics and sustainability performance. The study also highlights the importance of considering the effect of SDGs on the relationship between country-level governance and sustainability performance. The findings of this study could be useful for policymakers and firms in improving their sustainability performance and contributing to sustainable development.
",267895553,51,120,,sna
10.1007/s10462-023-10633-x,"Exploring aspect-based sentiment quadruple extraction with implicit aspects, opinions, and ChatGPT: a comprehensive survey","Hao Zhang, Yu-N Cheah, Osamah Mohammed Alyasiri, Jieyu An",Artificial Intelligence Review,2024,"Abstract In contrast to earlier ABSA studies primarily concentrating on individual sentiment components, recent research has ventured into more complex ABSA tasks encompassing multiple elements, including pair, triplet, and quadruple sentiment analysis. Quadruple sentiment analysis, also called aspect-category-opinion-sentiment quadruple Extraction (ACOSQE), aims to dissect aspect terms, aspect categories, opinion terms, and sentiment polarities while considering implicit sentiment within sentences. Nonetheless, a comprehensive overview of ACOSQE and its corresponding solutions is currently lacking. This is the precise gap that our survey seeks to address. To be more precise, we systematically reclassify all subtasks of ABSA, reorganizing existing research from the perspective of the involved sentiment elements, with a primary focus on the latest advancements in the ACOSQE task. Regarding solutions, our survey offers a comprehensive summary of the state-of-the-art utilization of language models within the ACOSQE task. Additionally, we explore the application of ChatGPT in sentiment analysis. Finally, we review emerging trends and discuss the challenges, providing insights into potential future directions for ACOSQE within the broader context of ABSA.",268541511,43,98,,"sna, summarization"
10.1111/1911-3846.12826,Social Networks Analysis in Accounting and Finance*,"Pietro A. Bianchi, Monika Causholli, Miguel Minutti‐Meza, Valbona Sulcaj, Pietro A. Bianchi, Monika Causholli, Miguel Minutti‐Meza, Valbona Sulcaj",Contemporary Accounting Research,2022,"Social network analysis (SNA) examines whether interactions between individuals, teams, and organizations result in network structures and patterns that can explain important outcomes, including firm performance, management reporting behaviors, investor beliefs, and audit outcomes. This paper reviews the growing body of work on SNA in accounting and finance research, focusing on 162 articles published between 2000 and 2021, and offers a roadmap that may help move this literature forward. Our survey summarizes the elements of SNA, organizes this literature within a theoretical framework, and provides a thematic discussion of the context and contribution of the selected studies. We also discuss opportunities and challenges for future research. Finally, we include an empirical illustration of the key concepts and tools of SNA. We believe that SNA will continue to offer an interesting avenue for conducting high-impact and cross-disciplinary research in accounting and finance. This article is protected by copyright. All rights reserved.",251814061,43,209,,sna
10.1111/1475-679x.12575,Global Evolution of Environmental and Social Disclosure in Annual Reports*,"Yan Lin, Rui Shen, Jasmine Wang, Y. Julia Yu",Journal of Accounting Research,2024,"We study environmental and social (E&S) disclosures in annual reports. Using the word embedding model to examine over 210,000 annual reports from 24,271 public firms in 30 international countries/regions between 2001 and 2020, we create an E&S dictionary that allows us to document trends in annual report E&S disclosure. Specifically, we find: (1) increases in length and boilerplate language and (2) decreases in specificity. Our results also suggest that E&S disclosure quality improves after the adoption of voluntary ESG reporting frameworks but deteriorates after disclosure mandates. Our findings provide systematic evidence on the evolution of E&S disclosure in annual reports over the past two decades and shed light on how voluntary and mandatory standards have shaped global E&S reporting practices.",277959797,39,51,,sna
10.1177/0263774x15604841,Private governance and accounting for sustainability networks,"J. Thistlethwaite, M. Paterson",(missing journal),2016,"Accounting rules and practices have become an important component of the governance of sustainability, notably in the field of corporate environmental, social, and governance reporting. This paper analyses the emergence and character of private governance initiatives regarding sustainability accounting. It does so using social network analysis in order to be able to conceptualize the patterns of connection across these different initiatives, and thus contribute to three specific ways that these initiatives are understood theoretically—as privatized neoliberal governance, via notions of professional epistemic authority, and through the concept of experimentation and experimental governance.",50393128,29,65,,sna
