DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.18653/v1/2020.coling-main.66,IndoLEM and IndoBERT: A Benchmark Dataset and Pre-trained Language Model for Indonesian NLP,"Fajri Koto, Afshin Rahimi, Jey Han Lau, Timothy Baldwin",International Conference on Computational Linguistics,2020,"Although the Indonesian language is spoken by almost 200 million people and the 10th most spoken language in the world, it is under-represented in NLP research. Previous work on Indonesian has been hampered by a lack of annotated datasets, a sparsity of language resources, and a lack of resource standardization. In this work, we release the IndoLEM dataset comprising seven tasks for the Indonesian language, spanning morpho-syntax, semantics, and discourse. We additionally release IndoBERT, a new pre-trained language model for Indonesian, and evaluate it over IndoLEM, in addition to benchmarking it against existing resources. Our experiments show that IndoBERT achieves state-of-the-art performance over most of the tasks in IndoLEM.",146236040,418,97,,summarization
10.3846/jbem.2022.16202,"ENVIRONMENTAL, SOCIAL, AND GOVERNANCE (ESG) PRACTICE AND FIRM PERFORMANCE: AN INTERNATIONAL EVIDENCE",Imlak Shaikh,Journal of Business and Economic Management,2022,"This article attempts to bring quantitative evidence of a firm’s sustainability reporting in terms of non-financial voluntary disclosures. The disclosures are made available through the annual report and Corporate Social Responsibility (CSR) and Global Reporting Initiatives (GRI) report. ESG score is a quantitative measure developed and disseminated by Bloomberg, covering about 120 Environmental, Social, and Governance aspects. The study’s research problem is to examine the effects of non-market transnational sustainability strategy on firm performance. The study presents an analysis of nearly 510 firm’s ESG scores across 17 countries for 2010–2018. The descriptive and inductive statistical analysis shows that ESG compliance is more pronounced in European companies. Simultaneously, Asian firms are more disciplined concerning the energy sector, and the Asiapacific counterpart is more inclined toward technology firms. The study shows that GRI and nonGRI companies differ significantly in their accounting performance (ROA and ROE) and market valuations (Tobin’s-Q). The environmental dimension appears intimidating across accounting and market-based firm performance, while the social dimension contributes adversely, and governance positively affects operational efficiency.",181846294,223,81,,summarization
10.1145/3529754,Multi-document Summarization via Deep Learning Techniques: A Survey,"Congbo Ma, Wei Emma Zhang, Mingyu Guo, Hu Wang, Quan Z. Sheng",ACM Computing Surveys,2022,"Multi-document summarization (MDS) is an effective tool for information aggregation that generates an informative and concise summary from a cluster of topic-related documents. Our survey, the first of its kind, systematically overviews the recent deep learning based MDS models. We propose a novel taxonomy to summarize the design strategies of neural networks and conduct a comprehensive summary of the state-of-the-art. We highlight the differences between various objective functions that are rarely discussed in the existing literature. Finally, we propose several future directions pertaining to this new and exciting field.",261220320,180,304,,summarization
10.18653/v1/2021.emnlp-main.833,IndoBERTweet: A Pretrained Language Model for Indonesian Twitter with Effective Domain-Specific Vocabulary Initialization,"Fajri Koto, Jey Han Lau, Timothy Baldwin",arXiv (Cornell University),2021,"We present IndoBERTweet, the first large-scale pretrained model for Indonesian Twitter that is trained by extending a monolingually-trained Indonesian BERT model with additive domain-specific vocabulary. We focus in particular on efficient model adaptation under vocabulary mismatch, and benchmark different ways of initializing the BERT embedding layer for new word types. We find that initializing with the average BERT subword embedding makes pretraining five times faster, and is more effective than proposed methods for vocabulary adaptation in terms of extrinsic evaluation over seven Twitter-based datasets.",157807820,129,46,,summarization
10.18653/v1/2020.acl-main.556,Multi-Granularity Interaction Network for Extractive and Abstractive Multi-Document Summarization,"Hanqi Jin, Tianming Wang, Xiaojun Wan",Annual Meeting of the Association for Computational Linguistics,2020,"In this paper, we propose a multi-granularity interaction network for extractive and abstractive multi-document summarization, which jointly learn semantic representations for words, sentences, and documents. The word representations are used to generate an abstractive summary while the sentence representations are used to produce an extractive summary. We employ attention mechanisms to interact between different granularity of semantic representations, which helps to capture multi-granularity key information and improves the performance of both abstractive and extractive summarization. Experiment results show that our proposed model substantially outperforms all strong baseline methods and achieves the best results on the Multi-News dataset.",261077007,126,47,,summarization
10.1109/ialp.2018.8629109,Indosum: A New Benchmark Dataset for Indonesian Text Summarization,"Kemal Kurniawan, Samuel Louvan",International Conference on Asian Language Processing,2018,"Automatic text summarization is generally considered as a challenging task in the NLP community. One of the challenges is the publicly available and large dataset that is relatively rare and difficult to construct. The problem is even worse for low-resource languages such as Indonesian. In this paper, we present INDOSUM, a new benchmark dataset for Indonesian text summarization. The dataset consists of news articles and manually constructed summaries. Notably, the dataset is almost 200x larger than the previous Indonesian summarization dataset of the same domain. We evaluated various extractive summarization approaches and obtained encouraging results which demonstrate the usefulness of the dataset and provide baselines for future research. The code and the dataset are available online under permissive licenses.",17339884,93,42,,summarization
10.48550/arxiv.2205.12647,Overcoming Catastrophic Forgetting in Zero-Shot Cross-Lingual Generation,"Tu Vu, Aditya Barua, Brian Lester, Daniel Matthew Cer, Mohit Iyyer, Noah Constant",Conference on Empirical Methods in Natural Language Processing,2022,"In this paper, we explore the challenging problem of performing a generative task in a target language when labeled data is only available in English, using summarization as a case study. We assume a strict setting with no access to parallel data or machine translation and find that common transfer learning approaches struggle in this setting, as a generative multilingual model fine-tuned purely on English catastrophically forgets how to generate non-English. Given the recent rise of parameter-efficient adaptation techniques, we conduct the first investigation into how one such method, prompt tuning (Lester et al., 2021), can overcome catastrophic forgetting to enable zero-shot cross-lingual generation. Our experiments show that parameter-efficient prompt tuning provides gains over standard fine-tuning when transferring between less-related languages, e.g., from English to Thai. However, a significant gap still remains between these methods and fully-supervised baselines. To improve cross-lingual transfer further, we explore several approaches, including: (1) mixing in unlabeled multilingual data, and (2) explicitly factoring prompts into recombinable language and task components. Our approaches can provide further quality gains, suggesting that robust zero-shot cross-lingual generation is within reach.",255271674,89,86,,summarization
10.3390/su15086892,Do Sustainability Activities Affect the Financial Performance of Banks? The Case of Indonesian Banks,"Herenia Gutiérrez‐Ponce, S. Wibowo",Sustainability,2023,"The disclosure of information on environmental, social, and governance (ESG) risks is increasingly important in financial and banking entities and the evaluation of its impact by supervisors. Therefore, the purpose of this study is to analyze the relationship between sustainability and financial performance in a geographical context that has not been studied. Specifically, this study examines the relationship of environmental, social, and governance (ESG) performance to the financial performance of Indonesian banking companies during the period 2010–20. As a methodology, we used panel data (ESG data from Thomson Reuters), statistical correlations, and regression models. Financial performance was measured by Return on Assets (ROA), Return on Equity (ROE), and Tobin’s Q (TQ). The findings show that ESG is negatively related to all dependent variables (ROA, ROE, and TQ), but each ESG pillar (environmental, social, and governance) yields different results. The social pillar has a significant positive effect on ROA and ROE, governance has a significant negative effect on TQ, and business environment has no significant impact on financial performance. As to the study’s limitations/implications, the findings advance decision makers’ understanding of the quality of organizations’ contributions to improving ESG reporting in financial reporting. The study’s findings on the relationship between ESG reporting and banks’ financial performance also have implications for stakeholders, ESG policymakers, academics, and assurance providers. While the specific research gap addressed is the relationship between ESG and financial performance in Indonesian banking companies, other interesting issues are the voluntary vs. mandatory nature of these reports and the impact of each modality on the variables considered.",258783525,71,82,,summarization
10.1145/3564281,"On the Robustness of Aspect-based Sentiment Analysis: Rethinking Model, Data, and Training","Hao Fei, Tat-Seng Chua, Chenliang Li, Donghong Ji, Meishan Zhang, Yafeng Ren",ACM Transactions on Information Systems,2022,"Aspect-based sentiment analysis (ABSA) aims at automatically inferring the specific sentiment polarities toward certain aspects of products or services behind the social media texts or reviews, which has been a fundamental application to the real-world society. Since the early 2010s, ABSA has achieved extraordinarily high accuracy with various deep neural models. However, existing ABSA models with strong in-house performances may fail to generalize to some challenging cases where the contexts are variable, i.e., low robustness to real-world environments. In this study, we propose to enhance the ABSA robustness by systematically rethinking the bottlenecks from all possible angles, including model, data, and training. First, we strengthen the current best-robust syntax-aware models by further incorporating the rich external syntactic dependencies and the labels with aspect simultaneously with a universal-syntax graph convolutional network. In the corpus perspective, we propose to automatically induce high-quality synthetic training data with various types, allowing models to learn sufficient inductive bias for better robustness. Last, we based on the rich pseudo data perform adversarial training to enhance the resistance to the context perturbation and meanwhile employ contrastive learning to reinforce the representations of instances with contrastive sentiments. Extensive robustness evaluations are conducted. The results demonstrate that our enhanced syntax-aware model achieves better robustness performances than all the state-of-the-art baselines. By additionally incorporating our synthetic corpus, the robust testing results are pushed with around 10% accuracy, which are then further improved by installing the advanced training strategies. In-depth analyses are presented for revealing the factors influencing the ABSA robustness.",250220951,71,124,,summarization
10.1002/csr.2641,Do sustainability practices contribute to the financial performance of banks? An analysis of banks in Southeast Asia,"Herenia Gutiérrez‐Ponce, Sigit Arie Wibowo",Corporate Social Responsibility and Environmental Management,2023,"In response to the need to deepen research on the impact of corporate ESG (environmental, social, and governance) pillars on the financial performance (FP) of banks, this study analyzes the relationship between ESG and FP in banks from emerging countries in Southeast Asia during the period 2010–2020. Using a sample of 19 banks from five countries with emerging economies, this article examines the level of information on ESG activities that banks report in each of their pillars and these pillars' impact on the FP. The research was conducted through an exploratory study using panel data (Thomson Reuters ESG data), parametric correlations, and regression models. FP is measured by return on assets (ROA), return on equity (ROE), and Tobin's Q (TQ), or the prevailing market price for exchanging assets divided by the market price of the goods newly produced. The findings show that ESG has a significant negative effect on all measures of FP (ROA, ROE, and TQ). However, analysis of the relationship of each individual ESG pillar to FP obtains different findings for each. Our study also shows differences in the level of ESG information in each country as a result of their specific economic characteristics. This study has limitations due to the limited ESG, bank, and country data that Thomson Reuters contains on banks in this region of Asia. In future research, more banks and more countries can be added to the analysis, as well as other control variables related to FP.",265880868,71,110,,summarization
